"Accession","W","H","D","Th","WH","WD","WT","HD","HT","DT","WHD","WHT","WDT","HDT","HWDT"
"All Accessions","6030.9224718472","6196.12559183296","5935.16936144143","6205.23721863003","5720.75287972934","5660.72174067756","5774.39485425619","5841.08424864639","6040.22778173131","5756.54983830955","5668.28377908444","5250.13190849794","5135.53636152357","5640.02203748532","5133.33277392983"
"242","386.960834879111","409.849785331738","400.239562734102","411.530241218168","351.178164128822","343.809023747563","372.243447677085","383.580473838033","393.243249623726","379.003127909988","333.717002337476","326.517155728984","315.981473457868","336.961703031219","311.773050379786"
"246","358.771586718485","380.781589790304","362.422356543794","393.91380851276","347.597234151757","344.481842812253","358.759188767846","348.552686236854","381.887039505976","358.229475315416","356.764519140157","337.934718058338","327.640555929581","331.426104760429","329.925026635204"
"319","421.12899137203","431.08046368202","403.881336023231","436.339518159436","420.647854313313","397.780825951187","419.717880766144","408.873031346253","424.670498054209","404.673687416943","405.340570415752","397.792407503598","394.613911651328","414.763145578744","393.881996983906"
"325","426.37110937604","434.989766290491","409.777507213625","453.557932161087","414.433359932294","406.942702165418","415.994205365232","407.160872118833","438.765348777542","401.745358200395","418.886778668932","411.100617009098","396.202534748871","393.176120158312","410.898895413019"
"326","379.316721311655","384.359882575265","361.532976060078","413.051271438204","367.812485648639","361.053966239759","376.747289748622","365.804875026565","376.125309173242","334.020685943978","373.150594205793","355.455009106888","336.35882688457","334.10185229512","355.701949073639"
"390","423.485618112286","431.297815330358","417.41392066243","440.748596857789","421.154382538516","420.82814298017","400.233934372912","423.534376804543","419.053733233503","390.3719017273","432.606526134587","392.311363398971","387.891448708989","394.753983902498","403.573905302411"
"572","380.549442128942","380.919042708219","372.007772423239","410.222782166635","378.082655827746","373.516764612536","380.09155259628","378.007307719262","377.700127582445","357.896029982803","386.350169083023","375.97347539415","362.257125434619","361.060061660635","368.402317336837"
"580","399.737292482603","409.457036101398","413.635224479967","407.594602440622","397.301491791172","402.535116919988","392.025483351079","415.602303973812","398.480786341391","399.116553972818","405.630291819673","375.826139699519","387.37404510103","405.73303091138","396.752814448126"
"582","362.652003295777","390.427664187907","374.551733678498","394.862504209969","364.6885044165","356.197573876471","359.707065781723","373.217241696262","384.421570492745","368.923454436497","367.511989890435","363.911318818848","351.223932884048","367.955222748207","366.970807012621"
"584","431.020207056846","429.749918800127","403.825523268125","471.663116507888","411.18329761657","398.206213772392","429.85035532028","402.593398416186","431.794466714531","398.696947912699","410.215206235365","395.032559963188","366.51537586322","392.518301409349","366.165744460658"
"585","407.401879554442","409.357435958151","395.165867615889","416.708002819851","406.890773488629","395.940913513268","392.238602836744","398.118974057563","386.756645955193","378.192030946223","399.92604873523","386.737405503519","380.815337468213","385.646721771522","392.428792307514"
"839","415.566640943476","430.407986129257","396.412840269147","445.420252987141","415.706590512604","398.597940420304","411.184993485999","394.430735763548","420.774810825927","372.203882275562","403.701510569653","393.905821566643","373.334576512062","383.34849413314","395.526372567936"
"845","402.315582890035","393.360567803782","376.826031933006","437.160091220424","389.706454445585","379.716168701161","399.551931552932","376.353542136526","387.70237053606","363.580312485138","379.498264656721","384.222198498332","371.126939090983","365.21840112977","376.32299686153"
"854","348.203919897796","373.3476048345","362.348467820594","374.483492644753","350.526615606948","353.614744650279","337.948195869201","359.086756837185","362.2306743514","345.405151785163","350.875226496661","343.689598329327","342.549894228421","345.042440556792","334.954211021025"
