"Accession","Ae","AeT","At","AtT","AtTDp"
"All Accessions","0.82316724900546","0.929043659927588","0.79560619032098","0.930830693618487","0.935726667383652"
"242","0.876671948778659","0.973640319037954","0.899066538518154","0.973661863842685","0.974423413026188"
"246","0.831181296388033","0.92596563801816","0.822625998016048","0.909332793654143","0.906786521738589"
"319","0.559236941106822","0.664599498497187","0.523391532417174","0.653412013304879","0.840280263062446"
"325","0.887902319192424","0.936573186957399","0.816573669168127","0.876675578933808","0.867282054431333"
"326","0.894065423053567","0.980871635449036","0.854841033873345","0.922779823488989","0.928027430190621"
"390","0.607496595823763","0.785716761928732","0.756140594144469","0.925888014697666","0.927353453616972"
"572","0.738753629170967","0.881782035309387","0.707171747429181","0.787690313840302","0.798799744296638"
"580","0.638198547572272","0.864753319256165","0.539805161729722","0.830367190968523","0.827859208933162"
"582","0.770325455692546","0.870633578364489","0.778755110868719","0.842488509729342","0.855401017222005"
"584","0.940759759440298","0.970095863666702","0.886629122376325","0.94284948477709","0.952632321007419"
"585","0.597482049730425","0.767916635605665","0.649575390490013","0.864764777581027","0.8621724773236"
"839","0.767227328093137","0.841248006637629","0.66349039819786","0.868341879897085","0.884343307595825"
"845","0.886223920856478","0.962509897542096","0.840896845480701","0.898571511215051","0.901819537096848"
"854","0.108557279907745","0.581156505365426","0.442230939113158","0.742193968880735","0.823143095999535"
