"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"PARL 854",0.299532882573216,-0.0257216338123369,0.0581724261934805,0.0446443892875815,0.187681148355351,0.340817629847093,0.302461382857802,0.327828275420846,0.250635326288058,0.112610447593525,0.233034493175725,0.285949837783349,0.292162830209759,0.320323335471321,0.311757140428367,0.121934897569991
"PARL 845",0.14499213507717,0.171642760639078,0.201157443551404,0.106249969985475,-0.0136228728150198,0.124936931914996,0.14282097542604,0.23241093018891,0.148901729229667,0.246267237183529,0.266541291486384,0.0616971205845892,0.165318785827203,0.175180892047994,0.18706433615616,0.312404516132332
"PARL 839",0.303345546998826,0.0774991434809542,0.540889480466392,0.0178145685980402,-0.0399999561233306,0.329374136811573,0.511854199956273,0.293625546347995,0.570029900378429,0.136600948923532,0.548666879780137,0.492655976616983,0.368220080128663,0.593734946053954,0.512664605718585,0.660835615562491
"PARL 585",0.147293223775969,0.0859799778578668,0.10247592428299,0.24279628968698,-0.0340418655823409,0.093710486761801,0.0983276583146788,0.266312666722699,0.0813177930981452,0.202077777704968,0.182119662765025,0.459515142689792,0.190258251991916,0.147002939428302,0.34775333952746,0.461549214444665
"PARL 584",0.0754329393410271,-0.0623740454145674,-0.0464215675548909,-0.0251601111783462,0.129680813613868,0.155784057739091,0.122195705295638,-0.00529320657296273,-0.0266200210118781,-0.166536625671615,-0.143612024873784,0.706112064206305,-0.0153765597263171,-0.0563463651170113,-0.18525620494733,0.587775376697177
"PARL 582",-0.00260384409549319,-0.031918803688044,0.000992620088964835,0.00682074013067802,-0.0270829521082736,-0.0720867412658552,-0.0585939434510756,0.0111754139250273,-0.0311408336097239,-0.0627581915782329,-0.0371982658555106,-0.0746519694561565,-0.0886311858318445,-0.0956552792486682,-0.0943214530805807,-0.404711659767514
"PARL 580",0.152597199820505,-0.00942229487178059,-0.0309617936733055,0.144555161953802,0.0331109318948214,0.133828526383244,0.0898490890059472,0.257849617454032,-0.0573448495265021,0.132532441214439,0.159390445259436,0.0367685406514808,0.22218155322452,0.206352443478345,0.136702001238462,-0.00857105435548511
"PARL 572",0.103198073495441,0.161373956007422,0.290855376497461,0.0370845375350818,0.0445015956039603,0.12021390085269,0.242430590172112,0.172493476729871,0.306972542425001,0.203070948942113,0.369957975008659,0.257255459169777,0.345831603975278,0.450240720229272,0.366192117560413,0.2337515150749
"PARL 390",0.177677434166564,0.160745557551332,0.182847378398335,0.133220906514737,-0.0162144760148017,0.172401005095964,0.168398812866471,0.29171206814145,0.123164989807098,0.225164954894333,0.243555759486721,0.188346961726232,0.230552357832972,0.215116055953763,0.134025606334,0.120591169689862
"PARL 326",0.144544811603882,0.13619875605424,0.175068876008665,0.114216784527271,-0.0288510064354839,0.116167758236734,0.119748614963249,0.162827667702365,0.117602937168553,0.170910916726997,0.206266611147753,0.0433114375227051,0.0570456976636361,0.071307286117449,0.0923545972733435,-0.166437180008166
"PARL 325",0.440492076495908,0.188872817895539,0.454418792058765,0.118849081806823,0.0926647465718534,0.498612183021901,0.512216951352609,0.548952804116396,0.49128649673624,0.21384921030081,0.488456437965082,0.512272792251139,0.508841392380886,0.5352220258688,0.513443572089021,0.278911565666613
"PARL 319",0.176476319179831,-0.00355570614931433,0.0445227163867002,-0.0039091620099807,-0.0056087860675742,0.120618095665416,0.119122169735865,0.12931957457518,0.0408103597511404,-0.0550327237526143,-0.0107509237975787,0.0135741203769297,-0.0227934340653373,-0.0331309998428186,-0.0464337407308899,-0.142418401534435
"PARL 246",0.314485476335922,0.211738869939921,0.420108762987475,-0.0321995583486632,0.000827054947360018,0.480910649646148,0.511254392545536,0.338401800751546,0.467665043193709,0.203982370627575,0.426959942119932,0.583721227304095,0.488579433411977,0.525543224838049,0.453848508418629,0.567271676722263
"PARL 242",0.65291392380223,0.40621203184683,0.534835891569627,0.0865715454220864,0.116600356108999,0.799725165381017,0.808972228162795,0.674125684435472,0.687240407309196,0.495018573923023,0.652710241272972,0.854713295917802,0.833084380958265,0.847885165486508,0.801331781233423,0.862583590047726
"All",0.356867424352069,0.0842671969821429,0.237824139232491,0.170103425786687,0.0660661900412525,0.39819181778698,0.4103276640086,0.441325766031839,0.362871211702537,0.204949880730547,0.306324324091571,0.410246617047748,0.458688235463854,0.466187733380063,0.415753878367019,0.460506854917892
