"","completeID","fresh_weight","width","height","diameter","thickness","accession","species","Area","mean_freshweight","SEM_mean_fresh","mean_dryweight","SEM_mean_dry","DMC","Water","H_div_W","FW_div_W","FW_div_D","FW_div_H","FW_div_T","D_div_W","Theo_Area","PartRatio","Pade_Peri","Pade_Derived_Diam","dry_weight"
"1","PARL 242-1-1",515.2,14.4,33.1,75.6,17.3,242,"O. cochinillifera",348.086,9.17,0.94,0.6,0.07,7.1,92.9,2.29861111111111,35.7777777777778,6.81481481481482,15.5649546827795,29.7803468208092,5.25,374.35218060176,0.154987257617729,155.065935986284,49.3590204347771,36.5792
"2","PARL 242-1-2",249.6,10,28.5,64.2,14,242,"O. cochinillifera",220.588,9.17,0.94,0.6,0.07,6.4,93.6,2.85,24.96,3.88785046728972,8.75789473684211,17.8285714285714,6.42,223.838476568273,0.230898971158711,128.040130164274,40.7564392595479,15.9744
"3","PARL 242-1-3",291.3,8.7,33,73.3,16.3,242,"O. cochinillifera",255.127,9.17,0.94,0.6,0.07,7.4,92.6,3.79310344827586,33.4827586206897,3.97407912687585,8.82727272727273,17.8711656441718,8.42528735632184,225.487812711407,0.339578696754826,142.383928916976,45.3222122079636,21.5562
"4","PARL 242-1-4",422.1,13.4,33.1,73.9,16.3,242,"O. cochinillifera",331.623,9.17,0.94,0.6,0.07,6.1,93.9,2.47014925373134,31.5,5.71177266576455,12.7522658610272,25.8957055214724,5.51492537313433,348.355501393304,0.179484333448954,152.715994743158,48.6110109051389,25.7481
"5","PARL 242-1-5",366.9,10.5,34,74.5,17.1,242,"O. cochinillifera",278.28,9.17,0.94,0.6,0.07,6,94,3.23809523809524,34.9428571428571,4.9248322147651,10.7911764705882,21.4561403508772,7.09523809523809,280.387144332889,0.278878929428102,149.730372189328,47.6606577298415,22.014
"6","PARL 242-1-6",202.3,7.6,30.5,66.2,15.2,242,"O. cochinillifera",176.906,9.17,0.94,0.6,0.07,6.5,93.5,4.01315789473684,26.6184210526316,3.0558912386707,6.6327868852459,13.3092105263158,8.71052631578947,182.055294275528,0.361260944744112,130.773249040411,41.6264180179377,13.1495
"7","PARL 242-1-7",244.6,7.3,21,69.2,17.4,242,"O. cochinillifera",197.491,9.17,0.94,0.6,0.07,7.6,92.4,2.87671232876712,33.5068493150685,3.53468208092486,11.647619047619,14.0574712643678,9.47945205479452,120.401538448829,0.2343517836407,94.1969973791694,29.9838355146182,18.5896
"8","PARL 242-1-8",270.4,9.4,34.6,75.4,14.7,242,"O. cochinillifera",262.054,9.17,0.94,0.6,0.07,12.5,87.5,3.68085106382979,28.7659574468085,3.58620689655172,7.8150289017341,18.3945578231293,8.02127659574468,255.442898663386,0.32801652892562,149.818661554502,47.6887611076214,33.8
"9","PARL 242-2-1",446.6,14.2,33.4,76.6,16.1,242,"O. cochinillifera",348.028,9.17,0.94,0.6,0.07,7.7,92.3,2.35211267605634,31.4507042253521,5.83028720626632,13.3712574850299,27.7391304347826,5.3943661971831,372.498640936142,0.162700374267354,155.686830624726,49.5566573364716,34.3882
"10","PARL 242-2-2",291.5,9.5,37.7,82.7,14.1,242,"O. cochinillifera",268.086,9.17,0.94,0.6,0.07,5.9,94.1,3.96842105263158,30.6842105263158,3.52478839177751,7.73209549071618,20.6737588652482,8.70526315789474,281.290352220796,0.356955616202241,161.839943535539,51.5152540067885,17.1985
"11","PARL 242-2-3",363.1,10.7,30.5,70.5,17.3,242,"O. cochinillifera",257.513,9.17,0.94,0.6,0.07,6.6,93.4,2.85046728971963,33.9345794392523,5.15035460992908,11.9049180327869,20.9884393063584,6.58878504672897,256.314690624757,0.230959562635498,137.021590411527,43.6153268486152,23.9646
"12","PARL 242-2-4",271.5,11.3,29.1,66.5,14.7,242,"O. cochinillifera",244.015,9.17,0.94,0.6,0.07,7.4,92.6,2.57522123893805,24.0265486725664,4.08270676691729,9.32989690721649,18.469387755102,5.88495575221239,258.262478069983,0.194123125183805,133.158430271359,42.3856447840887,20.091
"13","PARL 242-2-5",327,9,35.7,77.4,17.1,242,"O. cochinillifera",248.481,9.17,0.94,0.6,0.07,6.8,93.2,3.96666666666667,36.3333333333333,4.22480620155039,9.15966386554622,19.1228070175439,8.6,252.3484298996,0.356785730372506,153.261641968197,48.7846958112377,22.236
"14","PARL 242-2-6",192.7,9.2,29.3,65.1,12.6,242,"O. cochinillifera",208.288,9.17,0.94,0.6,0.07,6.6,93.4,3.18478260869565,20.945652173913,2.96006144393241,6.57679180887372,15.2936507936508,7.07608695652174,211.711928925416,0.272565356721201,129.343770192335,41.1714007685047,12.7182
"15","PARL 242-2-7",901.8,15,41.9,94.6,23.3,242,"O. cochinillifera",458.342,9.17,0.94,0.6,0.07,7.3,92.7,2.79333333333333,60.12,9.53276955602537,21.5226730310263,38.7038626609442,6.30666666666667,493.622745695296,0.223501286442777,188.892484782749,60.1263453321701,65.8314
