"completeID","fresh_weight","width","height","diameter","thickness","accession","species","pad_id","dataset","H_div_W","FW_div_W","FW_div_D","FW_div_H","FW_div_T","D_div_W","dry_weight"
"PARL 242-2-8",649.3,13.6,44.3,98.4,14.2,242,"O. cochinillifera",1,"Year 1",3.25735294117647,47.7426470588235,6.59857723577236,14.6568848758465,45.7253521126761,7.23529411764706,42.484187568157
"PARL 242-3-2",744.4,13.9,48.3,105.3,17.5,242,"O. cochinillifera",1,"Year 1",3.47482014388489,53.5539568345324,7.0693257359924,15.4120082815735,42.5371428571429,7.57553956834532,48.7066521264995
"PARL 242-4-2",792.7,14.9,39.3,89.7,19,242,"O. cochinillifera",1,"Year 1",2.63758389261745,53.2013422818792,8.83723522853958,20.1704834605598,41.7210526315789,6.02013422818792,51.8669574700109
"PARL 242-2-7",901.8,15,41.9,94.6,23.3,242,"O. cochinillifera",1,"Year 1",2.79333333333333,60.12,9.53276955602537,21.5226730310263,38.7038626609442,6.30666666666667,59.0054525627045
"PARL 242-4-8",1149,18.2,41.3,96.1,22.1,242,"O. cochinillifera",1,"Year 1",2.26923076923077,63.1318681318681,11.9562955254943,27.8208232445521,51.9909502262443,5.28021978021978,75.1799345692475
"PARL 246-1-7",282.5,13.9,26.2,64.4,12.4,246,"O. ficus-indica",1,"Year 1",1.88489208633094,20.3237410071942,4.38664596273292,10.7824427480916,22.7822580645161,4.63309352517986,11.1347877358491
"PARL 246-3-2",292.5,14.3,23.6,56.4,12.7,246,"O. ficus-indica",1,"Year 1",1.65034965034965,20.4545454545455,5.18617021276596,12.3940677966102,23.0314960629921,3.94405594405594,11.6895047169811
"PARL 246-2-5",295.5,10.8,25.4,60.2,19.5,246,"O. ficus-indica",1,"Year 1",2.35185185185185,27.3611111111111,4.90863787375415,11.6338582677165,15.1538461538462,5.57407407407407,13.6310141509434
"PARL 246-4-3",300.8,13.2,27.4,64.1,13.9,246,"O. ficus-indica",1,"Year 1",2.07575757575758,22.7878787878788,4.69266770670827,10.978102189781,21.6402877697842,4.85606060606061,14.1337264150943
"PARL 246-1-1",301,13.4,21.6,56.2,14.8,246,"O. ficus-indica",1,"Year 1",1.61194029850746,22.4626865671642,5.355871886121,13.9351851851852,20.3378378378378,4.19402985074627,14.422641509434
"PARL 246-4-6",336.1,14.1,30.5,71.6,10.7,246,"O. ficus-indica",1,"Year 1",2.16312056737589,23.8368794326241,4.69413407821229,11.0196721311475,31.411214953271,5.07801418439716,15.4858490566038
"PARL 246-4-4",341.4,11.6,30.1,67.3,14,246,"O. ficus-indica",1,"Year 1",2.5948275862069,29.4310344827586,5.07280832095097,11.3421926910299,24.3857142857143,5.80172413793103,15.6245283018868
"PARL 246-1-6",361.1,12.6,31.1,71.4,12.3,246,"O. ficus-indica",1,"Year 1",2.46825396825397,28.6587301587302,5.05742296918767,11.6109324758842,29.3577235772358,5.66666666666667,15.6880896226415
"PARL 246-3-3",388.3,13.5,32.6,74.7,13,246,"O. ficus-indica",1,"Year 1",2.41481481481481,28.762962962963,5.19812583668005,11.9110429447853,29.8692307692308,5.53333333333333,16.8321933962264
"PARL 246-2-3",390.5,13.1,27.6,66.9,16.2,246,"O. ficus-indica",1,"Year 1",2.10687022900763,29.8091603053435,5.83707025411061,14.1485507246377,24.1049382716049,5.10687022900763,16.84375
"PARL 246-2-8",416.4,13.4,36.4,79.3,13,246,"O. ficus-indica",1,"Year 1",2.71641791044776,31.0746268656716,5.25094577553594,11.4395604395604,32.0307692307692,5.91791044776119,18.8950471698113
"PARL 246-3-5",417.9,16.6,28.1,70.1,13.2,246,"O. ficus-indica",1,"Year 1",1.69277108433735,25.1746987951807,5.96148359486448,14.8718861209964,31.6590909090909,4.22289156626506,19.3688679245283
"PARL 246-2-2",426.5,15.6,30.6,73.5,15.7,246,"O. ficus-indica",1,"Year 1",1.96153846153846,27.3397435897436,5.80272108843537,13.937908496732,27.1656050955414,4.71153846153846,20.1604952830189
"PARL 246-4-2",434.4,15.6,25.8,64.8,19.1,246,"O. ficus-indica",1,"Year 1",1.65384615384615,27.8461538461538,6.7037037037037,16.8372093023256,22.7434554973822,4.15384615384615,20.3396226415094
"PARL 246-3-1",447,16.6,30.4,73.4,14.4,246,"O. ficus-indica",1,"Year 1",1.83132530120482,26.9277108433735,6.08991825613079,14.7039473684211,31.0416666666667,4.42168674698795,20.3396226415094
"PARL 246-3-8",452.7,15.4,28.6,68.3,16.7,246,"O. ficus-indica",1,"Year 1",1.85714285714286,29.3961038961039,6.62811127379209,15.8286713286713,27.1077844311377,4.43506493506493,20.9810141509434
"PARL 246-3-7",459.5,13.7,32.7,78.3,14.2,246,"O. ficus-indica",1,"Year 1",2.38686131386861,33.5401459854015,5.86845466155811,14.0519877675841,32.3591549295775,5.71532846715328,21.2005896226415
"PARL 246-1-4",475.9,16.3,28,70.1,15.9,246,"O. ficus-indica",1,"Year 1",1.71779141104294,29.1963190184049,6.78887303851641,16.9964285714286,29.9308176100629,4.30061349693251,21.6512971698113
"PARL 246-4-7",479.3,12.8,34.2,76.7,16.8,246,"O. ficus-indica",1,"Year 1",2.671875,37.4453125,6.2490221642764,14.0146198830409,28.5297619047619,5.9921875,24.3902122641509
"PARL 246-3-4",503.7,16.4,35.2,83,13.2,246,"O. ficus-indica",1,"Year 1",2.14634146341463,30.7134146341463,6.06867469879518,14.3096590909091,38.1590909090909,5.0609756097561,25.8058962264151
"PARL 246-1-3",517,16.4,25.9,67.2,15.7,246,"O. ficus-indica",1,"Year 1",1.57926829268293,31.5243902439024,7.69345238095238,19.96138996139,32.9299363057325,4.09756097560976,28.1056603773585
"PARL 246-4-5",530.7,15.2,29.5,72.1,19.4,246,"O. ficus-indica",1,"Year 1",1.94078947368421,34.9144736842105,7.36061026352289,17.9898305084746,27.3556701030928,4.74342105263158,29.7698113207547
"PARL 246-4-8",534.6,16.2,28.1,70.5,15.7,246,"O. ficus-indica",1,"Year 1",1.73456790123457,33,7.58297872340426,19.0249110320285,34.0509554140127,4.35185185185185,32.294929245283
"PARL 246-1-2",595.4,14.5,34.1,78.3,20.3,246,"O. ficus-indica",1,"Year 1",2.35172413793103,41.0620689655172,7.60408684546616,17.4604105571847,29.3300492610837,5.4,33.5950471698113
"PARL 246-3-6",604.6,18.4,33.5,81.9,15,246,"O. ficus-indica",1,"Year 1",1.82065217391304,32.8586956521739,7.38217338217338,18.0477611940299,40.3066666666667,4.45108695652174,36.2415094339623
"PARL 246-2-4",609.9,18.1,29.3,75.5,15.2,246,"O. ficus-indica",1,"Year 1",1.61878453038674,33.6961325966851,8.07814569536424,20.8156996587031,40.125,4.17127071823204,37.5185141509434
"PARL 246-1-8",747.7,20,31.6,82.5,14.6,246,"O. ficus-indica",1,"Year 1",1.58,37.385,9.0630303030303,23.6613924050633,51.2123287671233,4.125,43.013679245283
"PARL 246-1-5",769.4,19.9,33.5,82.2,16.3,246,"O. ficus-indica",1,"Year 1",1.68341708542714,38.6633165829146,9.36009732360097,22.9671641791045,47.2024539877301,4.13065326633166,45.8045990566038
"PARL 246-4-1",790.7,17.6,36,85,15.8,246,"O. ficus-indica",1,"Year 1",2.04545454545455,44.9261363636364,9.30235294117647,21.9638888888889,50.0443037974684,4.82954545454545,52.1087264150943
"PARL 246-2-6",807.8,20.2,37.6,92.1,13.7,246,"O. ficus-indica",1,"Year 1",1.86138613861386,39.990099009901,8.77090119435396,21.4840425531915,58.963503649635,4.55940594059406,66.3926886792453
"PARL 319-4-5",495.2,11,35.1,80,21.1,319,"O. cochinillifera",1,"Year 1",3.19090909090909,45.0181818181818,6.19,14.1082621082621,23.4691943127962,7.27272727272727,13.2439862542955
"PARL 319-1-4",627.4,12.2,35.2,81.9,21,319,"O. cochinillifera",1,"Year 1",2.88524590163934,51.4262295081967,7.66056166056166,17.8238636363636,29.8761904761905,6.71311475409836,13.9037800687285
"PARL 319-1-3",673.2,13.3,39.1,89,19.2,319,"O. cochinillifera",1,"Year 1",2.93984962406015,50.6165413533835,7.56404494382023,17.2173913043478,35.0625,6.69172932330827,16.213058419244
"PARL 319-4-4",729.7,14.1,38.6,78,23.6,319,"O. cochinillifera",1,"Year 1",2.73758865248227,51.7517730496454,9.35512820512821,18.9041450777202,30.9194915254237,5.53191489361702,16.8109965635739
"PARL 319-1-8",830.5,14.6,44.6,99.8,21,319,"O. cochinillifera",1,"Year 1",3.05479452054795,56.8835616438356,8.32164328657315,18.6210762331839,39.5476190476191,6.83561643835616,17.1546391752577
"PARL 319-1-2",881.1,15.1,37.6,85.8,23.7,319,"O. cochinillifera",1,"Year 1",2.49006622516556,58.3509933774834,10.2692307692308,23.4335106382979,37.1772151898734,5.68211920529801,18.4192439862543
"PARL 319-1-6",920.5,16.5,42,96.6,20,319,"O. cochinillifera",1,"Year 1",2.54545454545455,55.7878787878788,9.52898550724638,21.9166666666667,46.025,5.85454545454545,18.5841924398625
"PARL 319-3-3",942.8,13.8,51.7,111.8,21.3,319,"O. cochinillifera",1,"Year 1",3.7463768115942,68.3188405797101,8.43291592128801,18.2359767891683,44.2629107981221,8.10144927536232,18.6116838487972
"PARL 319-3-6",961.6,15.3,46.1,104,25.1,319,"O. cochinillifera",1,"Year 1",3.01307189542484,62.8496732026144,9.24615384615385,20.8590021691974,38.3107569721116,6.79738562091503,18.659793814433
"PARL 319-2-2",971.5,16.4,43.2,98.9,22.2,319,"O. cochinillifera",1,"Year 1",2.63414634146342,59.2378048780488,9.82305358948433,22.4884259259259,43.7612612612613,6.03048780487805,19.1821305841924
"PARL 319-2-5",1002.5,12.4,47.4,102,32.1,319,"O. cochinillifera",1,"Year 1",3.82258064516129,80.8467741935484,9.82843137254902,21.1497890295359,31.2305295950156,8.2258064516129,20.0343642611684
"PARL 319-4-2",1009.1,17.1,46.4,105.5,20.6,319,"O. cochinillifera",1,"Year 1",2.71345029239766,59.0116959064327,9.56492890995261,21.7478448275862,48.9854368932039,6.16959064327485,22.4742268041237
"PARL 319-2-1",1050.7,17.3,45.2,100.5,23.5,319,"O. cochinillifera",1,"Year 1",2.61271676300578,60.7341040462428,10.4547263681592,23.2455752212389,44.7106382978723,5.80924855491329,23.0378006872852
"PARL 319-4-3",1064.7,16.4,47.2,106,20.1,319,"O. cochinillifera",1,"Year 1",2.87804878048781,64.9207317073171,10.0443396226415,22.5572033898305,52.9701492537313,6.46341463414634,23.979381443299
"PARL 319-2-6",1134.4,16.4,48.8,107.4,26.1,319,"O. cochinillifera",1,"Year 1",2.97560975609756,69.1707317073171,10.5623836126629,23.2459016393443,43.4636015325671,6.54878048780488,24.192439862543
"PARL 319-4-7",1139.2,18.6,41.4,101.1,23.1,319,"O. cochinillifera",1,"Year 1",2.2258064516129,61.247311827957,11.2680514342235,27.5169082125604,49.3160173160173,5.43548387096774,24.192439862543
"PARL 319-1-5",1204.7,17.5,14.4,102.8,25.5,319,"O. cochinillifera",1,"Year 1",0.822857142857143,68.84,11.7188715953307,83.6597222222222,47.243137254902,5.87428571428571,24.9553264604811
"PARL 319-2-3",1210.2,19.3,44.8,103.2,24.7,319,"O. cochinillifera",1,"Year 1",2.32124352331606,62.7046632124352,11.7267441860465,27.0133928571429,48.9959514170041,5.34715025906736,25.2164948453608
"PARL 319-4-1",1220.6,15.4,54.1,117.6,29.2,319,"O. cochinillifera",1,"Year 1",3.51298701298701,79.2597402597403,10.3792517006803,22.5619223659889,41.8013698630137,7.63636363636364,25.7525773195876
"PARL 319-3-5",1221.7,17.7,43.5,105.9,18.7,319,"O. cochinillifera",1,"Year 1",2.45762711864407,69.0225988700565,11.5363550519358,28.0850574712644,65.331550802139,5.98305084745763,29.0103092783505
"PARL 319-1-7",1227.9,15.5,43.8,98.6,27.6,319,"O. cochinillifera",1,"Year 1",2.8258064516129,79.2193548387097,12.4533468559838,28.0342465753425,44.4891304347826,6.36129032258065,30.6941580756014
"PARL 319-2-4",1230.7,15.6,52.8,115.9,23.1,319,"O. cochinillifera",1,"Year 1",3.38461538461538,78.8910256410256,10.618636755824,23.3087121212121,53.2770562770563,7.42948717948718,33.4295532646048
"PARL 319-3-7",1253.9,17.1,46.6,105.5,22.1,319,"O. cochinillifera",1,"Year 1",2.72514619883041,73.327485380117,11.885308056872,26.9077253218884,56.737556561086,6.16959064327485,35.4089347079038
"PARL 319-3-2",1259.9,19.9,48.5,111.3,23.6,319,"O. cochinillifera",1,"Year 1",2.43718592964824,63.3115577889447,11.3198562443845,25.9773195876289,53.385593220339,5.5929648241206,38.4123711340206
"PARL 319-2-8",1285.2,16.2,47.3,107.4,29.1,319,"O. cochinillifera",1,"Year 1",2.91975308641975,79.3333333333333,11.9664804469274,27.1712473572939,44.1649484536082,6.62962962962963,39.9587628865979
"PARL 319-3-8",1310.2,18.7,48.6,108.2,24.7,319,"O. cochinillifera",1,"Year 1",2.59893048128342,70.0641711229947,12.1090573012939,26.9588477366255,53.0445344129555,5.78609625668449,43.106529209622
"PARL 319-3-4",1350,16.1,51.3,115.3,27.9,319,"O. cochinillifera",1,"Year 1",3.18633540372671,83.8509316770186,11.7085862966175,26.3157894736842,48.3870967741936,7.16149068322981,44.6254295532646
"PARL 319-4-8",1410.1,16.2,61.3,123.6,20.7,319,"O. cochinillifera",1,"Year 1",3.78395061728395,87.0432098765432,11.4085760517799,23.0032626427406,68.1207729468599,7.62962962962963,51.1615120274914
"PARL 319-3-1",1420.3,17.2,56.1,123.4,20.9,319,"O. cochinillifera",1,"Year 1",3.26162790697674,82.5755813953488,11.5097244732577,25.3172905525847,67.9569377990431,7.17441860465116,54.4810996563574
"PARL 319-2-7",1661.8,17.8,52.6,114.8,26.7,319,"O. cochinillifera",1,"Year 1",2.95505617977528,93.3595505617977,14.4756097560976,31.5931558935361,62.2397003745318,6.44943820224719,78.9690721649484
"PARL 325-1-1",513.6,17.8,28.4,66.4,16,325,"O. crassa",1,"Year 1",1.59550561797753,28.8539325842697,7.73493975903614,18.0845070422535,32.1,3.73033707865169,12.8089931573803
"PARL 325-2-4",835.2,17.3,35.1,82.4,22.2,325,"O. crassa",1,"Year 1",2.02890173410405,48.2774566473988,10.1359223300971,23.7948717948718,37.6216216216216,4.76300578034682,13.4471163245357
"PARL 325-2-5",1165.9,20.5,43.2,100.5,22.9,325,"O. crassa",1,"Year 1",2.10731707317073,56.8731707317073,11.6009950248756,26.9884259259259,50.9126637554585,4.90243902439024,15.6805474095797
"PARL 325-4-6",1191.4,19.7,42.9,98.9,23.1,325,"O. crassa",1,"Year 1",2.17766497461929,60.4771573604061,12.046511627907,27.7715617715618,51.5757575757576,5.02030456852792,16.2588465298143
"PARL 325-4-3",1226.1,23.8,39.7,101.3,18.3,325,"O. crassa",1,"Year 1",1.66806722689076,51.5168067226891,12.1036525172754,30.8841309823678,67,4.2563025210084,17.8142717497556
"PARL 325-2-7",1239.9,22.8,36.4,91.3,22.2,325,"O. crassa",1,"Year 1",1.59649122807018,54.3815789473684,13.5805038335159,34.0631868131868,55.8513513513514,4.00438596491228,17.9738025415445
"PARL 325-4-5",1244.2,23.9,38.8,94.4,23.9,325,"O. crassa",1,"Year 1",1.6234309623431,52.0585774058577,13.1800847457627,32.0670103092784,52.0585774058577,3.94979079497908,18.0003910068426
"PARL 325-4-4",1250.7,23.3,32.1,91.6,18.9,325,"O. crassa",1,"Year 1",1.37768240343348,53.6781115879828,13.6539301310044,38.9626168224299,66.1746031746032,3.931330472103,18.0469208211144
"PARL 325-1-7",1251.5,23.2,37.1,92.1,22,325,"O. crassa",1,"Year 1",1.59913793103448,53.9439655172414,13.5884907709012,33.733153638814,56.8863636363636,3.9698275862069,18.5521016617791
"PARL 325-4-1",1272.3,20.8,40.7,96.3,22.4,325,"O. crassa",1,"Year 1",1.95673076923077,61.1682692307692,13.2118380062305,31.2604422604423,56.7991071428571,4.62980769230769,19.3630498533724
"PARL 325-1-5",1284.8,22.1,42.7,103.6,20,325,"O. crassa",1,"Year 1",1.93212669683258,58.1357466063348,12.4015444015444,30.0889929742389,64.24,4.68778280542986,19.3763440860215
"PARL 325-1-4",1390,24.3,35.6,92.8,22,325,"O. crassa",1,"Year 1",1.46502057613169,57.201646090535,14.9784482758621,39.0449438202247,63.1818181818182,3.81893004115226,21.7360703812317
"PARL 325-4-7",1490.1,20.4,46.8,106,23.4,325,"O. crassa",1,"Year 1",2.29411764705882,73.0441176470588,14.0575471698113,31.8397435897436,63.6794871794872,5.19607843137255,22.2811339198436
"PARL 325-2-6",1611.4,26.6,44.2,108.8,21.2,325,"O. crassa",1,"Year 1",1.66165413533835,60.5789473684211,14.8106617647059,36.4570135746606,76.0094339622642,4.09022556390977,23.191788856305
"PARL 325-2-2",1667.6,27.4,42,104.4,19.8,325,"O. crassa",1,"Year 1",1.53284671532847,60.8613138686131,15.9731800766284,39.7047619047619,84.2222222222222,3.81021897810219,23.3978494623656
"PARL 325-1-8",1670.5,21.2,46.8,105.8,28,325,"O. crassa",1,"Year 1",2.20754716981132,78.7971698113208,15.789224952741,35.6944444444444,59.6607142857143,4.99056603773585,23.3978494623656
"PARL 325-4-2",1678.5,22.3,40.6,99.4,39.8,325,"O. crassa",1,"Year 1",1.82062780269058,75.2690582959641,16.8863179074447,41.3423645320197,42.1733668341709,4.45739910313901,24.1356793743891
"PARL 325-2-3",1693.9,23.2,40.5,101.5,27.4,325,"O. crassa",1,"Year 1",1.74568965517241,73.0129310344828,16.6886699507389,41.8246913580247,61.8211678832117,4.375,24.3882697947214
"PARL 325-1-6",1781.3,26.4,44.9,108.6,29,325,"O. crassa",1,"Year 1",1.70075757575758,67.4734848484848,16.402394106814,39.6726057906459,61.4241379310345,4.11363636363636,24.9067448680352
"PARL 325-1-2",1813.7,23.9,48.7,113.3,25,325,"O. crassa",1,"Year 1",2.03765690376569,75.8870292887029,16.0079435127979,37.2422997946612,72.548,4.74058577405858,28.0574780058651
"PARL 325-2-1",1926.8,29.2,43.6,113.2,19.5,325,"O. crassa",1,"Year 1",1.49315068493151,65.986301369863,17.0212014134276,44.1926605504587,98.8102564102564,3.87671232876712,29.6860215053763
"PARL 325-2-8",2069.6,25,43.5,108,27.3,325,"O. crassa",1,"Year 1",1.74,82.784,19.162962962963,47.5770114942529,75.8095238095238,4.32,32.3315738025415
"PARL 325-4-8",2437.8,29.8,48.1,122.8,25.6,325,"O. crassa",1,"Year 1",1.61409395973154,81.8053691275168,19.8517915309446,50.6819126819127,95.2265625,4.12080536912752,34.2459433040078
"PARL 326-1-2",455.9,14,25.2,62.7,20.4,326,"O. ficus-indica",1,"Year 1",1.8,32.5642857142857,7.27113237639553,18.0912698412698,22.3480392156863,4.47857142857143,16.3928819444444
"PARL 326-1-3",542.4,14.6,27.9,68.1,21.2,326,"O. ficus-indica",1,"Year 1",1.91095890410959,37.1506849315069,7.9647577092511,19.4408602150538,25.5849056603774,4.66438356164384,17.2095486111111
"PARL 326-2-4",592,15.4,28.2,66.1,21.3,326,"O. ficus-indica",1,"Year 1",1.83116883116883,38.4415584415584,8.95612708018154,20.9929078014184,27.7934272300469,4.29220779220779,20.0678819444444
"PARL 326-2-7",607.4,14.3,24.5,63.6,26,326,"O. ficus-indica",1,"Year 1",1.71328671328671,42.4755244755245,9.55031446540881,24.7918367346939,23.3615384615385,4.44755244755245,20.8079861111111
"PARL 326-3-4",628.1,16.5,25.1,65.8,24.1,326,"O. ficus-indica",1,"Year 1",1.52121212121212,38.0666666666667,9.54559270516717,25.0239043824701,26.0622406639004,3.98787878787879,21.2333333333333
"PARL 326-3-1",695.9,15.5,31.4,73.9,21.6,326,"O. ficus-indica",1,"Year 1",2.0258064516129,44.8967741935484,9.41677943166441,22.1624203821656,32.2175925925926,4.76774193548387,22.7986111111111
"PARL 326-2-2",744.8,16.4,28.7,69.1,26.8,326,"O. ficus-indica",1,"Year 1",1.75,45.4146341463415,10.7785817655572,25.9512195121951,27.7910447761194,4.21341463414634,23.0027777777778
"PARL 326-2-6",783.5,16.1,29.7,70.8,31.9,326,"O. ficus-indica",1,"Year 1",1.84472049689441,48.6645962732919,11.066384180791,26.3804713804714,24.5611285266458,4.39751552795031,23.0368055555556
"PARL 326-4-8",783.5,17.2,31.7,74.3,25.4,326,"O. ficus-indica",1,"Year 1",1.84302325581395,45.5523255813954,10.5450874831763,24.7160883280757,30.8464566929134,4.31976744186047,23.0963541666667
"PARL 326-3-5",785,16.3,29.9,74.2,23.4,326,"O. ficus-indica",1,"Year 1",1.83435582822086,48.159509202454,10.5795148247978,26.2541806020067,33.5470085470086,4.5521472392638,23.7428819444444
"PARL 326-2-8",809.7,18.1,31.6,76.9,24.4,326,"O. ficus-indica",1,"Year 1",1.74585635359116,44.7348066298343,10.5292587776333,25.623417721519,33.1844262295082,4.24861878453039,24.7977430555556
"PARL 326-1-7",855.3,17.4,28.1,72.6,25.5,326,"O. ficus-indica",1,"Year 1",1.61494252873563,49.1551724137931,11.7809917355372,30.4377224199288,33.5411764705882,4.17241379310345,28.5152777777778
"PARL 326-2-1",892.1,18.2,34.8,82.8,20.3,326,"O. ficus-indica",1,"Year 1",1.91208791208791,49.0164835164835,10.774154589372,25.6350574712644,43.9458128078818,4.54945054945055,29.6807291666667
"PARL 326-2-3",893.1,17.5,30.5,80.4,21.6,326,"O. ficus-indica",1,"Year 1",1.74285714285714,51.0342857142857,11.1082089552239,29.2819672131148,41.3472222222222,4.59428571428571,29.9444444444444
"PARL 326-4-3",906.6,18,32.9,79.1,27,326,"O. ficus-indica",1,"Year 1",1.82777777777778,50.3666666666667,11.4614412136536,27.5562310030395,33.5777777777778,4.39444444444444,29.9444444444444
"PARL 326-1-4",908.7,17.1,32.3,78.9,26.6,326,"O. ficus-indica",1,"Year 1",1.88888888888889,53.140350877193,11.5171102661597,28.1331269349845,34.1616541353383,4.6140350877193,30.8887152777778
"PARL 326-3-6",913.3,18.7,30.9,80.3,24.8,326,"O. ficus-indica",1,"Year 1",1.6524064171123,48.8395721925134,11.373599003736,29.5566343042071,36.8266129032258,4.29411764705882,31.2119791666667
