,completeID,fresh_weight,width,height,diameter,thickness,accession,species,H_div_W,FW_div_W,FW_div_D,FW_div_H,FW_div_T,D_div_W,Theo_Area,PartRatio,Pade_Peri,Pade_Derived_Diam,Area,dry_proportion,water_proportion,dry_weight,water_weight
21,PARL 242-3-5,374.7,12.8,32.9,74.6,13.3,PARL 242,O. cochinillifera,2.5703125,29.2734375,5.022788204,11.38905775,28.17293233,5.828125,330.7468746,0.193445983,150.6022953,47.93819948,306.453,0.064595777,0.935404223,24.20403764,350.4959624
22,PARL 242-3-6,486.4,12.3,41.9,91.8,15.8,PARL 242,O. cochinillifera,3.406504065,39.54471545,5.298474946,11.60859189,30.78481013,7.463414634,404.7706515,0.298253019,183.2262656,58.32273176,388.259,0.070695608,0.929304392,34.38634373,452.0136563
23,PARL 242-3-7,581.4,13.1,44.7,98.3,13.7,PARL 242,O. cochinillifera,3.41221374,44.38167939,5.914547304,13.00671141,42.4379562,7.503816794,459.9056025,0.298894889,195.4266368,62.20623053,434.543,0.066887153,0.933112847,38.88819075,542.5118092
24,PARL 242-3-8,335.2,10.4,33.7,74.9,14,PARL 242,O. cochinillifera,3.240384615,32.23076923,4.475300401,9.946587537,23.94285714,7.201923077,275.2663483,0.279148092,148.3941666,47.23533026,260.032,0.072057759,0.927942241,24.15376082,311.0462392
25,PARL 242-4-1,352,11.6,31.7,72.6,13.1,PARL 242,O. cochinillifera,2.732758621,30.34482759,4.848484848,11.10410095,26.87022901,6.25862069,288.8066126,0.215484642,143.4634211,45.66582524,281.938,0.065428343,0.934571657,23.03077674,328.9692233
26,PARL 242-4-2,792.7,14.9,39.3,89.7,19,PARL 242,O. cochinillifera,2.637583893,53.20134228,8.837235229,20.17048346,41.72105263,6.020134228,459.9056025,0.202666086,179.0166393,56.98276607,418.78,0.066506531,0.933493469,52.71972712,739.9802729
27,PARL 242-4-3,558.9,13.3,41.2,94.1,12.5,PARL 242,O. cochinillifera,3.097744361,42.02255639,5.939426142,13.56553398,44.712,7.07518797,430.3667776,0.262068849,182.6310662,58.1332739,426.091,0.057777435,0.942222565,32.29180842,526.6081916
28,PARL 242-4-4,268,9.1,33.2,72.7,14.2,PARL 242,O. cochinillifera,3.648351648,29.45054945,3.686382393,8.072289157,18.87323944,7.989010989,237.2844931,0.324603614,143.911569,45.80847513,214.616,0.063406505,0.936593495,16.99294334,251.0070567
29,PARL 242-4-5,235.9,8.4,30.6,67.7,15.4,PARL 242,O. cochinillifera,3.642857143,28.08333333,3.484490399,7.709150327,15.31818182,8.05952381,201.8787439,0.324023669,132.665843,42.22884939,201.525,0.054750689,0.945249311,12.91568754,222.9843125
30,PARL 242-4-6,270.8,9.5,32.4,71.4,12.4,PARL 242,O. cochinillifera,3.410526316,28.50526316,3.792717087,8.358024691,21.83870968,7.515789474,241.7455547,0.298705293,141.660905,45.09206656,236.34,0.072178943,0.927821057,19.54605776,251.2539422
31,PARL 242-4-7,352,10.1,38.6,84.6,13.7,PARL 242,O. cochinillifera,3.821782178,34.85148515,4.160756501,9.119170984,25.69343066,8.376237624,306.195328,0.342477305,166.4015839,52.96726922,301.354,0.062441432,0.937558568,21.97938406,330.0206159
32,PARL 242-4-8,1149,18.2,41.3,96.1,22.1,PARL 242,O. cochinillifera,2.269230769,63.13186813,11.95629553,27.82082324,51.99095023,5.28021978,590.3523835,0.150726644,194.0373506,61.76400699,543.248,0.100451738,0.899548262,115.419047,1033.580953
33,PARL 246-1-1,301,13.4,21.6,56.2,14.8,PARL 246,O. ficus-indica,1.611940299,22.46268657,5.355871886,13.93518519,20.33783784,4.194029851,227.3256444,0.054889796,111.4698533,35.48195631,229.317,0.05527144,0.94472856,16.63670344,284.3632966
34,PARL 246-1-2,595.4,14.5,34.1,78.3,20.3,PARL 246,O. ficus-indica,2.351724138,41.06206897,7.604086845,17.46041056,29.33004926,5.4,388.3401219,0.162644583,158.9553867,50.59707105,371.976,0.063862295,0.936137705,38.02361044,557.3763896
35,PARL 246-1-3,517,16.4,25.9,67.2,15.7,PARL 246,O. ficus-indica,1.579268293,31.52439024,7.693452381,19.96138996,32.92993631,4.097560976,333.6057239,0.050439001,134.570421,42.8350954,350.19,0.064987869,0.935012131,33.59872827,483.4012717
36,PARL 246-1-4,475.9,16.3,28,70.1,15.9,PARL 246,O. ficus-indica,1.717791411,29.19631902,6.788873039,16.99642857,29.93081761,4.300613497,358.4557218,0.069753222,141.6102562,45.07594455,337.208,0.065039845,0.934960155,30.95246224,444.9475378
37,PARL 246-1-5,769.4,19.9,33.5,82.2,16.3,PARL 246,O. ficus-indica,1.683417085,38.66331658,9.360097324,22.96716418,47.20245399,4.130653266,523.5856856,0.064862742,170.492618,54.26948583,490.069,0.036220351,0.963779649,27.86793806,741.5320619
38,PARL 246-1-6,361.1,12.6,31.1,71.4,12.3,PARL 246,O. ficus-indica,2.468253968,28.65873016,5.057422969,11.61093248,29.35772358,5.666666667,307.7661243,0.179217569,143.5108171,45.68091186,313.353,0.0728412,0.9271588,26.30295732,334.7970427
39,PARL 246-1-7,282.5,13.9,26.2,64.4,12.4,PARL 246,O. ficus-indica,1.884892086,20.32374101,4.386645963,10.78244275,22.78225806,4.633093525,286.0263031,0.094085236,128.9588738,41.04888444,285.736,0.048213756,0.951786244,13.62038607,268.8796139
40,PARL 246-1-8,747.7,20,31.6,82.5,14.6,PARL 246,O. ficus-indica,1.58,37.385,9.063030303,23.66139241,51.21232877,4.125,496.3716393,0.050537828,164.1608565,52.25402356,538.881,0.058132146,0.941867854,43.46540556,704.2345944
41,PARL 246-2-1,346,20,27.4,65,13.6,PARL 246,O. ficus-indica,1.37,17.3,5.323076923,12.62773723,25.44117647,3.25,430.3981935,0.024372875,149.8202327,47.68926122,279.218,0.078425161,0.921574839,27.13510571,318.8648943
42,PARL 246-2-2,426.5,15.6,30.6,73.5,15.7,PARL 246,O. ficus-indica,1.961538462,27.33974359,5.802721088,13.9379085,27.1656051,4.711538462,374.9176673,0.105414066,148.9924542,47.42577115,332.406,0.056826176,0.943173824,24.23636406,402.2636359
43,PARL 246-2-3,390.5,13.1,27.6,66.9,16.2,PARL 246,O. ficus-indica,2.106870229,29.80916031,5.837070254,14.14855072,24.10493827,5.106870229,283.96856,0.126925004,131.9533084,42.00204258,280.901,0.059495401,0.940504599,23.23295409,367.2670459
44,PARL 246-2-4,609.9,18.1,29.3,75.5,15.2,PARL 246,O. ficus-indica,1.61878453,33.6961326,8.078145695,20.81569966,40.125,4.171270718,416.520208,0.055831508,150.9973356,48.0639447,408.747,0.047776201,0.952223799,29.13870499,580.761295
