,completeID,fresh_weight,width,height,diameter,thickness,accession,species,D_div_W,mean_freshweight,SEM_mean_fresh,mean_dryweight,SEM_mean_dry,Area,computed_dry_weight,Theo_Area,PartRatio,Pade_Peri,Pade_Derived_Diam
28,PARL 242-4-4,268,9.1,33.2,72.7,14.2,242,O. cochinillifera,7.989010989,9.17,0.94,0.6,0.07,214.616,17.53544166,237.2844931,0.324603614,143.911569,45.80847513
29,PARL 242-4-5,235.9,8.4,30.6,67.7,15.4,242,O. cochinillifera,8.05952381,9.17,0.94,0.6,0.07,201.525,15.4351145,201.8787439,0.324023669,132.665843,42.22884939
30,PARL 242-4-6,270.8,9.5,32.4,71.4,12.4,242,O. cochinillifera,7.515789474,9.17,0.94,0.6,0.07,236.34,17.71864776,241.7455547,0.298705293,141.660905,45.09206656
31,PARL 242-4-7,352,10.1,38.6,84.6,13.7,242,O. cochinillifera,8.376237624,9.17,0.94,0.6,0.07,301.354,23.03162486,306.195328,0.342477305,166.4015839,52.96726922
32,PARL 242-4-8,1149,18.2,41.3,96.1,22.1,242,O. cochinillifera,5.28021978,9.17,0.94,0.6,0.07,543.248,75.17993457,590.3523835,0.150726644,194.0373506,61.76400699
33,PARL 246-1-1,301,13.4,21.6,56.2,14.8,246,O. ficus-indica,4.194029851,8.48,0.94,0.49,0.07,229.317,17.39268868,227.3256444,0.054889796,111.4698533,35.48195631
34,PARL 246-1-2,595.4,14.5,34.1,78.3,20.3,246,O. ficus-indica,5.4,8.48,0.94,0.49,0.07,371.976,34.40400943,388.3401219,0.162644583,158.9553867,50.59707105
35,PARL 246-1-3,517,16.4,25.9,67.2,15.7,246,O. ficus-indica,4.097560976,8.48,0.94,0.49,0.07,350.19,29.87382075,333.6057239,0.050439001,134.570421,42.8350954
36,PARL 246-1-4,475.9,16.3,28,70.1,15.9,246,O. ficus-indica,4.300613497,8.48,0.94,0.49,0.07,337.208,27.49893868,358.4557218,0.069753222,141.6102562,45.07594455
37,PARL 246-1-5,769.4,19.9,33.5,82.2,16.3,246,O. ficus-indica,4.130653266,8.48,0.94,0.49,0.07,490.069,44.45825472,523.5856856,0.064862742,170.492618,54.26948583
38,PARL 246-1-6,361.1,12.6,31.1,71.4,12.3,246,O. ficus-indica,5.666666667,8.48,0.94,0.49,0.07,313.353,20.86544811,307.7661243,0.179217569,143.5108171,45.68091186
39,PARL 246-1-7,282.5,13.9,26.2,64.4,12.4,246,O. ficus-indica,4.633093525,8.48,0.94,0.49,0.07,285.736,16.32370283,286.0263031,0.094085236,128.9588738,41.04888444
40,PARL 246-1-8,747.7,20,31.6,82.5,14.6,246,O. ficus-indica,4.125,8.48,0.94,0.49,0.07,538.881,43.20436321,496.3716393,0.050537828,164.1608565,52.25402356
41,PARL 246-2-1,346,20,27.4,65,13.6,246,O. ficus-indica,3.25,8.48,0.94,0.49,0.07,279.218,19.99292453,430.3981935,0.024372875,149.8202327,47.68926122
42,PARL 246-2-2,426.5,15.6,30.6,73.5,15.7,246,O. ficus-indica,4.711538462,8.48,0.94,0.49,0.07,332.406,24.64445755,374.9176673,0.105414066,148.9924542,47.42577115
43,PARL 246-2-3,390.5,13.1,27.6,66.9,16.2,246,O. ficus-indica,5.106870229,8.48,0.94,0.49,0.07,280.901,22.56426887,283.96856,0.126925004,131.9533084,42.00204258
44,PARL 246-2-4,609.9,18.1,29.3,75.5,15.2,246,O. ficus-indica,4.171270718,8.48,0.94,0.49,0.07,408.747,35.24186321,416.520208,0.055831508,150.9973356,48.0639447
45,PARL 246-2-5,295.5,10.8,25.4,60.2,19.5,246,O. ficus-indica,5.574074074,8.48,0.94,0.49,0.07,209.728,17.07488208,215.4504242,0.162662922,118.399401,37.68769985
