completeID,dry_proportion,water_proportion
PARL 584-2-1,0.062611204,0.937388796
PARL 584-2-2,NaN,NaN
PARL 584-2-3,0.061796454,0.938203546
PARL 584-2-4,NaN,NaN
PARL 584-2-5,0.050661044,0.949338956
PARL 584-2-6,0.068191486,0.931808514
PARL 584-2-7,NaN,NaN
PARL 584-2-8,0.054953856,0.945046144
PARL 585-2-1,0.080470845,0.919529155
PARL 585-2-2,0.089743299,0.910256701
PARL 585-2-3,0.084477552,0.915522448
PARL 585-2-4,0.070151029,0.929848971
PARL 585-2-5,0.086222413,0.913777587
PARL 585-2-6,0.061670596,0.938329404
PARL 585-2-7,0.145188352,0.854811648
PARL 585-2-8,0.088224398,0.911775602
PARL 839-2-1,0.090811517,0.909188483
PARL 839-2-2,0.100322707,0.899677293
PARL 839-2-3,0.075952702,0.924047298
PARL 839-2-4,0.112646172,0.887353828
PARL 839-2-5,0.078627425,0.921372575
PARL 839-2-6,0.109999377,0.890000623
PARL 839-2-7,0.100072436,0.899927564
PARL 839-2-8,0.109742974,0.890257026
PARL 325-2-1,0.060567903,0.939432097
PARL 325-2-2,0.063012445,0.936987555
PARL 325-2-3,0.093622731,0.906377269
PARL 325-2-4,0.062399841,0.937600159
PARL 325-2-5,0.064996128,0.935003872
PARL 325-2-6,NaN,NaN
PARL 325-2-7,0.083375787,0.916624213
PARL 325-2-8,0.062924588,0.937075412
PARL 572-2-1,0.067183226,0.932816774
PARL 572-2-2,0.067162449,0.932837551
PARL 572-2-3,0.070515832,0.929484168
PARL 572-2-4,0.067286447,0.932713553
PARL 572-2-5,0.103064206,0.896935794
PARL 572-2-6,0.067546433,0.932453567
PARL 572-2-7,0.07668361,0.92331639
PARL 572-2-8,0.070059066,0.929940934
PARL 390-2-1,0.167137121,0.832862879
PARL 390-2-2,0.060201835,0.939798165
PARL 390-2-3,0.096268035,0.903731965
PARL 390-2-4,0.059751763,0.940248237
PARL 390-2-5,0.044077001,0.955922999
PARL 390-2-6,0.067393645,0.932606355
PARL 390-2-7,0.106760105,0.893239895
PARL 390-2-8,0.09865762,0.90134238
PARL 319-2-1,0.047085319,0.952914681
PARL 319-2-2,0.065088482,0.934911518
PARL 319-2-3,0.051606945,0.948393055
PARL 319-2-4,0.064137454,0.935862546
PARL 319-2-5,0.075862844,0.924137156
PARL 319-2-6,NaN,NaN
PARL 319-2-7,0.081988251,0.918011749
PARL 319-2-8,0.06664078,0.93335922
PARL 326-2-1,0.064235375,0.935764625
PARL 326-2-2,0.061432856,0.938567144
PARL 326-2-3,0.063160594,0.936839406
PARL 326-2-4,0.052255532,0.947744468
PARL 326-2-5,0.063450099,0.936549901
PARL 326-2-6,0.081319066,0.918680934
PARL 326-2-7,0.089457761,0.910542239
PARL 326-2-8,0.065166668,0.934833332
PARL 845-2-1,0.155072862,0.844927138
PARL 845-2-2,0.087635936,0.912364064
PARL 845-2-3,0.077609291,0.922390709
PARL 845-2-4,0.093027645,0.906972355
PARL 845-2-5,0.091033268,0.908966732
PARL 845-2-6,0.08359406,0.91640594
PARL 845-2-7,0.08362288,0.91637712
PARL 845-2-8,0.08661738,0.91338262
PARL 582-2-1,0.063012219,0.936987781
PARL 582-2-2,0.06469923,0.93530077
PARL 582-2-3,0.067788133,0.932211867
PARL 582-2-4,0.065148751,0.934851249
PARL 582-2-5,0.056562388,0.943437612
PARL 582-2-6,0.058553454,0.941446546
PARL 582-2-7,0.016486244,0.983513756
PARL 582-2-8,0.064947323,0.935052677
PARL 242-2-1,0.076949297,0.923050703
PARL 242-2-2,0.059424503,0.940575497
PARL 242-2-3,0.065903096,0.934096904
PARL 242-2-4,0.073527288,0.926472712
PARL 242-2-5,0.068381936,0.931618064
PARL 242-2-6,0.066151801,0.933848199
PARL 242-2-7,0.073304981,0.926695019
PARL 242-2-8,0.07445193,0.92554807
PARL 246-2-1,0.078425161,0.921574839
PARL 246-2-2,0.056826176,0.943173824
PARL 246-2-3,0.059495401,0.940504599
PARL 246-2-4,0.047776201,0.952223799
PARL 246-2-5,0.043106945,0.956893055
PARL 246-2-6,0.058363495,0.941636505
PARL 246-2-7,0.070601998,0.929398002
PARL 246-2-8,0.071347243,0.928652757
PARL 580-3-1,0.068445436,0.931554564
PARL 580-3-2,0.063470274,0.936529726
PARL 580-3-3,0.078790206,0.921209794
PARL 580-3-4,0.066257291,0.933742709
PARL 580-3-5,0.083100986,0.916899014
PARL 580-3-6,0.0769181,0.9230819
PARL 580-3-7,0.06576216,0.93423784
PARL 580-3-8,0.078176915,0.921823085
PARL 854-3-1,0.072663015,0.927336985
PARL 854-3-2,0.097049638,0.902950362
PARL 854-3-3,0.057420308,0.942579692
PARL 854-3-4,0.091650102,0.908349898
PARL 854-3-5,0.054932143,0.945067857
PARL 854-3-6,0.106899914,0.893100086
PARL 854-3-7,0.06612057,0.93387943
PARL 854-3-8,0.08285609,0.91714391
PARL 584-3-1,0.054879661,0.945120339
PARL 584-3-2,0.068044577,0.931955423
PARL 584-3-3,NaN,NaN
PARL 584-3-4,NaN,NaN
PARL 584-3-5,NaN,NaN
PARL 584-3-6,NaN,NaN
PARL 584-3-7,0.051006964,0.948993036
PARL 584-3-8,0.058872141,0.941127859
PARL 585-3-1,0.039876355,0.960123645
PARL 585-3-2,0.10159807,0.89840193
PARL 585-3-3,0.039479616,0.960520384
PARL 585-3-4,0.066818145,0.933181855
PARL 585-3-5,0.073498233,0.926501767
PARL 585-3-6,0.067058476,0.932941524
PARL 585-3-7,0.064242998,0.935757002
PARL 585-3-8,0.057241164,0.942758836
PARL 839-3-1,0.076945586,0.923054414
PARL 839-3-2,0.093586812,0.906413188
PARL 839-3-3,0.072964445,0.927035555
PARL 839-3-4,0.096162687,0.903837313
PARL 839-3-5,0.073732031,0.926267969
PARL 839-3-6,0.098995634,0.901004366
PARL 839-3-7,0.082554807,0.917445193
PARL 839-3-8,0.095288466,0.904711534
PARL 325-3-1,0.066055581,0.933944419
PARL 325-3-2,0.067534278,0.932465722
PARL 325-3-3,0.097556513,0.902443487
PARL 325-3-4,0.070204293,0.929795707
PARL 325-3-5,0.042958678,0.957041322
PARL 325-3-6,0.060021436,0.939978564
PARL 325-3-7,0.058787332,0.941212668
PARL 325-3-8,NaN,NaN
PARL 572-3-1,0.050050733,0.949949267
PARL 572-3-2,0.077798395,0.922201605
PARL 572-3-3,0.051444043,0.948555957
PARL 572-3-4,0.063347151,0.936652849
PARL 572-3-5,0.057078225,0.942921775
PARL 572-3-6,0.06538164,0.93461836
PARL 572-3-7,0.051535022,0.948464978
PARL 572-3-8,0.067746871,0.932253129
PARL 390-3-1,0.072938925,0.927061075
PARL 390-3-2,0.073190218,0.926809782
PARL 390-3-3,0.069469193,0.930530807
PARL 390-3-4,0.071727851,0.928272149
PARL 390-3-5,0.061546559,0.938453441
PARL 390-3-6,0.079264207,0.920735793
PARL 390-3-7,NaN,NaN
PARL 390-3-8,0.06158869,0.93841131
PARL 319-3-1,0.054772845,0.945227155
PARL 319-3-2,0.061544106,0.938455894
PARL 319-3-3,0.051900433,0.948099567
PARL 319-3-4,0.056464635,0.943535365
PARL 319-3-5,0.049586598,0.950413402
PARL 319-3-6,0.059621522,0.940378478
PARL 319-3-7,0.13204533,0.86795467
PARL 319-3-8,0.068975547,0.931024453
PARL 326-3-1,0.057846432,0.942153568
PARL 326-3-2,0.070424899,0.929575101
PARL 326-3-3,0.07184952,0.92815048
PARL 326-3-4,0.074482226,0.925517774
PARL 326-3-5,0.100376026,0.899623974
PARL 326-3-6,0.073039032,0.926960968
PARL 326-3-7,0.098707953,0.901292047
PARL 326-3-8,0.074631093,0.925368907
PARL 845-3-1,0.176697261,0.823302739
PARL 845-3-2,0.084141786,0.915858214
PARL 845-3-3,0.250379522,0.749620478
PARL 845-3-4,0.106606562,0.893393438
PARL 845-3-5,0.217008627,0.782991373
PARL 845-3-6,0.081082992,0.918917008
PARL 845-3-7,0.3753106,0.6246894
PARL 845-3-8,0.088458974,0.911541026
PARL 582-3-1,0.086085306,0.913914694
PARL 582-3-2,0.069617807,0.930382193
PARL 582-3-3,0.080513701,0.919486299
PARL 582-3-4,0.064635662,0.935364338
PARL 582-3-5,0.070922584,0.929077416
PARL 582-3-6,0.067529198,0.932470802
PARL 582-3-7,0.07498517,0.92501483
PARL 582-3-8,0.069488786,0.930511214
PARL 242-3-1,0.074886492,0.925113508
PARL 242-3-2,0.073863668,0.926136332
PARL 242-3-3,0.071525294,0.928474706
PARL 242-3-4,0.066351351,0.933648649
PARL 242-3-5,0.064595777,0.935404223
PARL 242-3-6,0.070695608,0.929304392
PARL 242-3-7,0.066887153,0.933112847
PARL 242-3-8,0.072057759,0.927942241
PARL 246-3-1,0.06146506,0.93853494
PARL 246-3-2,0.069416093,0.930583907
