"Accession","W","H","D","Th","WH","WD","WT","HD","HT","DT","WHD","WHT","WDT","HDT","HWDT"
"242","0.755509141894615","0.483991650949553","0.643932053533415","0.427423528978889","0.935107521343056","0.949991835471477","0.873664510006508","0.661589731406489","0.743264692610118","0.843007991505351","0.972747873012918","0.978268925920614","0.984926947293846","0.898620141917262","0.991498420095147"
"246","0.527926892608611","0.332010244576144","0.623260488007114","0.0328898189195469","0.754142198468813","0.812685339730991","0.605236557708865","0.806740076343226","0.390176230565817","0.696928820210651","0.810423518060241","0.872027448145615","0.926365025956242","0.901311381145918","0.931192166162418"
"319","0.490420066322535","0.260761967012654","-0.00145348044338034","0.0470332156307552","0.58136463992397","0.696174181564141","0.56265590092716","0.457779210032878","0.469501819017699","0.18604545134959","0.800084446912798","0.826982793294045","0.804122346007337","0.66856576412648","0.890814698505166"
"325","0.642021861794827","0.468901570975703","0.771186867212893","0.171497140820057","0.809156656915086","0.84961168708984","0.759986413441571","0.832876941543841","0.50828801838339","0.839635677996751","0.832729964329458","0.869461691815008","0.915806991986692","0.909524543678413","0.899276712546009"
"326","0.68920170742216","0.690457566576373","0.863379813061951","0.214371791333118","0.837368494254643","0.882729967971494","0.758866466747199","0.868859257297955","0.809119504732199","0.941931790205048","0.870624211029355","0.9162229688783","0.959541777831779","0.962501578891935","0.9552239912808"
"390","0.630357990209107","0.554642632518181","0.651120537023586","0.417363075347559","0.751829304723641","0.740900506292406","0.83144860082492","0.642534769718281","0.71830640682704","0.836541440633245","0.726418087286805","0.923696116791502","0.926155827878044","0.869989789614807","0.925165254037892"
"572","0.508067775263829","0.560647247644571","0.70095094298674","0.0865997552944129","0.597821889280519","0.690489509844505","0.626865851669655","0.693883155056029","0.685151666189062","0.863928235283166","0.676120883209828","0.756206540721395","0.886496718967145","0.89240189940384","0.905475418603589"
"580","0.444327177993492","0.233579174709958","0.138969503384855","0.141134979526959","0.571549180174321","0.4830925109507","0.577279563505275","0.213227828625415","0.510164335617019","0.395173629768664","0.524164563135141","0.830957653812319","0.721914422354371","0.537442966730764","0.804989321303848"
"582","0.664724843290344","0.36272768555917","0.624631785433305","0.318724732855835","0.762484113296002","0.831441310001918","0.767717938314752","0.653188355020903","0.531223770700375","0.695437105751385","0.831519927634597","0.82203651133845","0.886798709060106","0.725474580893329","0.8995095205087"
"584","0.739342479318206","0.736217901992533","0.310049243560566","0.0213698700134948","0.877816065947827","0.751826534993354","0.782045483262961","0.78763317634934","0.763219396289169","0.650149885523083","0.875051218543922","0.94732894810762","0.88824318152621","0.893173690612267","0.971704989323053"
"585","0.552818068739455","0.532627544972496","0.391519282894623","0.367525504225866","0.622467768520873","0.622082206834412","0.768740599632808","0.543599540798147","0.799098728513504","0.724273943155368","0.769704716875734","0.855180601465591","0.830502516679883","0.849732705073359","0.86407893863724"
"839","0.451812396433798","0.36830701360551","0.793882486789252","0.00970645229631584","0.508074057919306","0.792827321365117","0.603663004586196","0.835164543081463","0.607329934576014","0.919879463659289","0.83142961263501","0.83003221800094","0.931354216801996","0.913025069338622","0.917309287301607"
"845","0.680890884254099","0.769534402738659","0.869790467649905","0.105373992046457","0.841483716770375","0.886390982384658","0.76113040334581","0.893089760113051","0.830289399665751","0.921370278739825","0.890563259821952","0.903808149468542","0.931236544747863","0.945059771071533","0.953516186002642"
"854","0.610933041042142","0.154080544426537","0.174510568757202","0.128602155187696","0.653536579311294","0.589392035061167","0.743984955916938","0.347298521479554","0.485762078224141","0.413270423760742","0.720838185462249","0.793781848469162","0.747989927715438","0.713695830512073","0.841644279776541"
