"Accession","Ae","AeT","At","AtT","AtTDp"
"All Accessions","0.826439833757222","0.930255969210902","0.804595531665654","0.93231142146226","0.937209328369686"
"242","0.873341087221091","0.974513149253161","0.89636284109684","0.974203856321164","0.974584206506953"
"246","0.831181296388033","0.92596563801816","0.822625998016048","0.909332793654143","0.906786521738589"
"319","0.562109007042438","0.679973725060849","0.51967642953922","0.653524891640037","0.846078490173269"
"325","0.887902319192424","0.936573186957399","0.816573669168127","0.876675578933808","0.867282054431333"
"326","0.893337896610453","0.980784070379411","0.855418921840476","0.924704177962578","0.92802615214141"
"390","0.607496595823763","0.785716761928732","0.756140594144469","0.925888014697666","0.927353453616972"
"572","0.730240665544067","0.877036495126574","0.705574765430915","0.782377349324801","0.793309241534902"
"580","0.624949391202903","0.871100525973643","0.532329233981495","0.859074014195451","0.844739439452555"
"582","0.770325455692546","0.870633578364489","0.778755110868719","0.842488509729342","0.855401017222005"
"584","0.940759759440298","0.970095863666702","0.886629122376325","0.94284948477709","0.952632321007419"
"585","0.636877671921226","0.811366312812758","0.648762130678598","0.864146663330616","0.861036676426141"
"839","0.762707665343758","0.839440487154374","0.67864474503706","0.875418388245646","0.922375393665211"
"845","0.884408797756894","0.964541424892207","0.850677363292509","0.916550580054311","0.923030605992043"
"854","0.109322473388953","0.581699491326551","0.436664995675404","0.738988734549284","0.822335550770703"
