"Accession","W","H","D","Th","WH","WD","WT","HD","HT","DT","WHD","WHT","WDT","HDT","HWDT"
"242",0.776620446227913,0.533320885187976,0.646630546773098,0.485611908769677,0.934048997852789,0.948480996471078,0.873237048894846,0.819133790646789,0.788615904669374,0.864388824952847,0.973986569592789,0.979207122499071,0.983972300535996,0.96830975426997,0.991481466451271
"246",0.698235315469433,0.371513660687121,0.659184985416046,0.0263470592346258,0.821510355683319,0.839115903773114,0.741060164752257,0.815734254009228,0.440231057273429,0.745592166438652,0.818061657678393,0.902874125241957,0.931085329661458,0.921816858804964,0.952817773882754
"319",0.465723400104411,0.257124353345233,0.698408248686927,0.0968133676956868,0.543689396578057,0.775077793114875,0.583479688318288,0.693731446958372,0.485217852281411,0.72992324716287,0.785390137773225,0.836717732551659,0.846467873960007,0.711831219570954,0.908588090654642
"325",0.659493784855537,0.546170334175994,0.804157002251721,0.157258047827096,0.80365567522276,0.84703926036481,0.793169822480133,0.845922824491142,0.558165149062732,0.871370460514158,0.828963280278378,0.86806101951289,0.919702635104867,0.927407884187436,0.916852623912482
"326",0.773444046624985,0.739381233840055,0.869673468950884,0.251724755362847,0.856428906577413,0.885206143529321,0.820122606665512,0.867958483381373,0.84093220093715,0.959885837219061,0.870419796647244,0.92948047430451,0.96386700360492,0.967276825247949,0.95367410685825
"390",0.681672934102507,0.586984163494951,0.739997967486783,0.43404646104112,0.747166039436421,0.749900624975569,0.874112995018694,0.726290826222325,0.764264279909543,0.909382233032663,0.721885691388784,0.92740760821089,0.93735213325646,0.921249801093698,0.932960812344236
"572",0.647698857287104,0.618371764703397,0.717662487370355,0.0474894541846336,0.707960689628845,0.748776294133603,0.697859948785516,0.701825119002196,0.70541394210093,0.847724438854857,0.710953360530483,0.79298627578172,0.868310755580332,0.871445155404537,0.893108939739444
"580",0.390949185555676,0.260703424829721,0.092206805497061,0.286711400133422,0.510676436354703,0.42126591021771,0.586832176695843,0.224672713866818,0.691664676949257,0.570509757406314,0.514368974207694,0.836513807701521,0.737381568026092,0.706821650429057,0.783940662252366
"582",0.769405923100464,0.417974486167181,0.657141919755195,0.325249977187659,0.788144641067539,0.840367746430452,0.820557321312345,0.718482386637788,0.591017387938452,0.756024265079579,0.825210733733138,0.844979295334251,0.898440399621838,0.822609151074782,0.891087938478448
"584",0.733663422737802,0.744356525404226,0.889223686672137,0.0118619327377936,0.879123189147647,0.920468248888081,0.779271136438932,0.908377359124652,0.764985231376825,0.919199232799214,0.911695531912867,0.945889517720026,0.978433983618577,0.950104899581556,0.986521523278781
"585",0.569232528463749,0.538071234150483,0.7159179204794,0.401545876327533,0.623067773550794,0.735875376804663,0.775351053012857,0.731561659484059,0.81424067314379,0.864673207063887,0.771786508980923,0.85058015788607,0.877627470934698,0.872467296216806,0.891402907398681
"839",0.723506761623329,0.422795629208302,0.813595133760934,0.0133356221713005,0.732029065963891,0.818405942463548,0.819020837167978,0.839893732935473,0.635740289251955,0.925538439220121,0.825699117709882,0.913825669696443,0.93463340499955,0.915437745394679,0.916465662443717
"845",0.750193483714312,0.776115709668198,0.873036296143929,0.0655736953069503,0.847662327336329,0.884822100429779,0.825440955033785,0.896397531053647,0.841501758100908,0.930778405097116,0.908498116732776,0.917367557531691,0.939558820368823,0.948800205928596,0.961255220312215
"854",0.62951275598731,0.167609810577003,0.427046385912739,0.12702440939872,0.653005843878239,0.615007682790135,0.775834340685522,0.570943770650913,0.494814820000694,0.714062437574026,0.731915445907975,0.789807873563587,0.794915637438434,0.793718863912648,0.897012301719192
