completeID,fresh_weight,width,height,diameter,thickness
PARL 584-2-7,840.4,146,316,767,31.1
PARL 584-2-8,813,166,303,735,21.9
PARL 585-2-1,787.4,184,299,754,20
PARL 585-2-2,880.5,202,326,831,20.9
PARL 585-2-3,457.2,183,330,726,15.3
PARL 585-2-4,973.9,193,359,830,21.4
PARL 585-2-5,581.2,162,285,719,18.2
PARL 585-2-6,829.8,174,324,813,20.8
PARL 585-2-7,452.4,142,229,604,20.1
PARL 585-2-8,692,183,330,698,18.5
PARL 839-2-1,557.3,203,301,749,17.9
PARL 839-2-2,939.9,219,352,882,21.5
PARL 839-2-3,361.9,156,260,665,15.2
PARL 839-2-4,918.8,239,342,940,12.5
PARL 839-2-5,1362.3,280,387,1072,16.2
PARL 839-2-6,787.8,241,319,889,16.4
PARL 839-2-7,703.6,170,260,734,28.7
PARL 839-2-8,1254.7,264,369,1025,18.4
PARL 325-2-1,1926.8,292,436,1132,19.5
PARL 325-2-2,1667.6,274,420,1044,19.8
PARL 325-2-3,1693.9,232,405,1015,27.4
PARL 325-2-4,835.2,173,351,824,22.2
PARL 325-2-5,1165.9,205,432,1005,22.9
PARL 325-2-6,1611.4,266,442,1088,21.2
PARL 325-2-7,1239.9,228,364,913,22.2
PARL 325-2-8,2069.6,250,435,1080,27.3
PARL 572-2-1,808.2,196,383,917,14
PARL 572-2-2,797.1,188,367,837,20.7
PARL 572-2-3,817.1,197,360,862,14
PARL 572-2-4,590.1,180,310,792,17
PARL 572-2-5,726.7,177,368,847,19.1
PARL 572-2-6,693.6,192,380,818,22.2
PARL 572-2-7,956.5,198,386,892,23.3
PARL 572-2-8,763.9,183,368,904,16.5
PARL 390-2-1,1539.5,278,348,957,23.8
PARL 390-2-2,1337.4,237,360,949,22.7
PARL 390-2-3,1309.4,255,360,1004,24.2
PARL 390-2-4,1869.8,240,343,934,32.1
PARL 390-2-5,2263.4,334,387,1099,25.9
PARL 390-2-6,1506.3,265,330,995,21.3
PARL 390-2-7,1160.9,216,311,825,27
PARL 390-2-8,1619.8,258,346,946,28.2
PARL 319-2-1,1050.7,173,452,1005,23.5
PARL 319-2-2,971.5,164,432,989,22.2
PARL 319-2-3,1210.2,193,448,1032,24.7
PARL 319-2-4,1230.7,156,528,1159,23.1
PARL 319-2-5,1002.5,124,474,1020,32.1
PARL 319-2-6,1134.4,164,488,1074,26.1
PARL 319-2-7,1661.8,178,526,1148,26.7
PARL 319-2-8,1285.2,162,473,1074,29.1
PARL 326-2-1,892.1,182,348,828,20.3
PARL 326-2-2,744.8,164,287,691,26.8
PARL 326-2-3,893.1,175,305,804,21.6
PARL 326-2-4,592,154,282,661,21.3
PARL 326-2-5,1177.3,196,330,862,24.6
PARL 326-2-6,783.5,161,297,708,31.9
PARL 326-2-7,607.4,143,245,636,26
PARL 326-2-8,809.7,181,316,769,24.4
PARL 845-2-1,457.8,152,262,637,19.2
PARL 845-2-2,1121.6,246,352,939,17.3
PARL 845-2-3,1398.4,235,416,1034,15
PARL 845-2-4,744.3,201,316,823,12.9
PARL 845-2-5,557,176,245,680,17.6
PARL 845-2-6,373.7,194,232,623,11.1
PARL 845-2-7,1596,253,425,1100,21.3
PARL 845-2-8,1067.1,196,362,927,16.7
PARL 582-2-1,842.5,157,431,964,22.2
PARL 582-2-2,936.2,165,414,961,22.9
PARL 582-2-3,986.9,167,406,946,22.6
PARL 582-2-4,961.8,146,430,994,21.5
PARL 582-2-5,744.6,143,431,958,21.8
PARL 582-2-6,836.6,162,456,1006,18.3
PARL 582-2-7,1267.9,176,430,994,25.3
PARL 582-2-8,897.2,168,424,993,20.3
PARL 242-2-1,446.6,142,334,766,16.1
PARL 242-2-2,291.5,95,377,827,14.1
PARL 242-2-3,363.1,107,305,705,17.3
PARL 242-2-4,271.5,113,291,665,14.7
PARL 242-2-5,327,90,357,774,17.1
PARL 242-2-6,192.7,92,293,651,12.6
PARL 242-2-7,901.8,150,419,946,23.3
PARL 242-2-8,649.3,136,443,984,14.2
PARL 246-2-1,346,200,274,650,13.6
PARL 246-2-2,426.5,156,306,735,15.7
PARL 246-2-3,390.5,131,276,669,16.2
PARL 246-2-4,609.9,181,293,755,15.2
PARL 246-2-5,295.5,108,254,602,19.5
PARL 246-2-6,807.8,202,376,921,13.7
PARL 246-2-7,366,122,342,778,15.4
PARL 246-2-8,416.4,134,364,793,13
PARL 390-3-4,934.5,225,277,781,19.9
PARL 390-3-5,1748.1,268,365,983,26.7
PARL 390-3-6,2064.4,307,372,1057,27
PARL 390-3-7,1496.6,216,411,989,26.5
PARL 390-3-8,1323.7,244,365,960,18.9
PARL 319-3-1,1420.3,172,561,1234,20.9
PARL 319-3-2,1259.9,199,485,1113,23.6
PARL 319-3-3,942.8,138,517,1118,21.3
PARL 319-3-4,1350,161,513,1153,27.9
PARL 319-3-5,1221.7,177,435,1059,18.7
