"accession","fresh_weight~Area","fresh_weight~Theo_Area","fresh_weight~Area+thickness","fresh_weight~Area*thickness","fresh_weight~Theo_Area+thickness","fresh_weight~Theo_Area*thickness","fresh_weight~Theo_Area+thickness+Pade_Derived_Diam","fresh_weight~Theo_Area*thickness*Pade_Derived_Diam"
"242",0.88186114982125,0.902686098346195,0.925140849807691,0.94585431991397,0.942250338641203,0.947025647011515,0.94173083876554,0.95565326313237
"246",0.787479120533042,0.695941552767253,0.89458147918212,0.915406135008996,0.804127775841996,0.830106558143505,0.796311144472111,0.823302566424915
"319",0.535272380250532,0.779461220966658,0.644197806258566,0.631795904438951,0.827164467655015,0.819965131842497,0.822131271758665,0.796174513435147
"325",0.89463483197053,0.799132234578527,0.924563581929185,0.92348232568258,0.858809530935847,0.856207568780347,0.860359877305277,0.838654113673882
"326",0.89281220413729,0.848352837159634,0.973363940065037,0.977626972287083,0.907514679435959,0.914186980841249,0.904490821511951,0.91407205725559
"390",0.415622959540259,0.597483256321905,0.66358031846776,0.709807987670902,0.861746521639478,0.876373673210418,0.857943987243488,0.877940212337501
"572",0.635813841619495,0.577436684565107,0.848157886506649,0.870535663324813,0.733647418783039,0.733987705516069,0.723756650493229,0.716372702317726
"580",0.578528156756959,0.462669275224454,0.848669946962461,0.843004396610502,0.806003973090442,0.8019022597597,0.802154944822456,0.807563924101342
"582",0.698489951844679,0.708517067401653,0.835729154930781,0.830409685225622,0.80200747163055,0.794709287296276,0.800861491815049,0.796629872677707
"584",0.918752849171056,0.855374145519338,0.95886877026317,0.959080167535102,0.929197687288035,0.93238975957603,0.927456781045073,0.934468867695556
"585",0.53928366435277,0.633227164797014,0.75728638219653,0.791082038161483,0.856125790290463,0.850717387934114,0.850268282316516,0.834055142824185
"839",0.6574975412358,0.500294048991442,0.761577511978786,0.752462414063031,0.769069131539764,0.819403396797766,0.761906081610824,0.834364765810422
"845",0.906779532351361,0.861991827285168,0.964979177543595,0.963698901441318,0.901635982973392,0.904802058036492,0.898013230888117,0.909154089342399
"854",0.108557279907745,0.442230939113158,0.390053915830833,0.581156505365426,0.731306020614817,0.742193968880735,0.736879978990691,0.823143095999535
"All",0.821666326609857,0.802174628226617,0.917597335047802,0.928986490612644,0.925676433274235,0.940181030816537,0.926082759892506,0.942760434051144
