"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width+height","fresh_weight~width+D_div_W","fresh_weight~width+thickness","fresh_weight~height+D_div_W","fresh_weight~height+thickness","fresh_weight~D_div_W+thickness","fresh_weight~width+height+D_div_W","fresh_weight~width+height+thickness","fresh_weight~width+D_div_W+thickness","fresh_weight~height+D_div_W+thickness","fresh_weight~width+height+D_div_W+thickness"
"242",0.755509141894615,0.483991650949553,0.643932053533415,0.427423528978889,0.822417826153165,0.900136292500726,0.864342135056461,0.653437562675317,0.733374182899516,0.532714472586197,0.898603609689236,0.9306824358226,0.952127736873996,0.859842473418188,0.951826474623885
"246",0.527926892608611,0.332010244576144,0.623260488007114,0.0328898189195469,0.713194834120311,0.736586751301639,0.598448664264677,0.657002071489351,0.404676197142351,0.0529743903714155,0.728301278579332,0.812934459499106,0.821718095434072,0.770201216150554,0.815973669455091
"319",0.490420066322535,0.260761967012654,-0.00145348044338034,0.0470332156307552,0.573805251133915,0.512286533397437,0.569633818034326,0.335774516845835,0.30053828466267,0.146107832139841,0.567623839822783,0.64442617784949,0.569266163210891,0.429210047970179,0.631707506317649
"325",0.642021861794827,0.468901570975703,0.771186867212893,0.171497140820057,0.813649847744985,0.832620278081548,0.764374510491055,0.732467697532528,0.516613505879884,0.197619400830698,0.827148971963908,0.876030324708508,0.896525898283298,0.791411286506369,0.89272755207025
"326",0.68920170742216,0.690457566576373,0.863379813061951,0.214371791333118,0.836417016945359,0.879315886851398,0.692222175341443,0.753708581750366,0.813386732565734,0.294954808979737,0.875592527715984,0.872596852018939,0.944945650126812,0.815441402875434,0.947708095008478
"390",0.630357990209107,0.554642632518181,0.651120537023586,0.417363075347559,0.760272343765718,0.7354037254936,0.825656470715985,0.666059478225212,0.727650382522945,0.397723247423788,0.7552634431841,0.899217333154277,0.906623795481307,0.800977178420974,0.908293053686842
"572",0.508067775263829,0.560647247644571,0.70095094298674,0.0865997552944129,0.604637152822361,0.711706542408048,0.638627462825611,0.547981463856022,0.694852890508577,0.0582859431383919,0.71481211534424,0.748118014568032,0.857516845724892,0.687315638724825,0.864387890209822
"580",0.444327177993492,0.233579174709958,0.138969503384855,0.141134979526959,0.580352921594819,0.475769443517422,0.591559603601659,0.27063796281767,0.488374327660375,0.125635664427885,0.565461672236544,0.816930098895271,0.687378248334793,0.499556449186687,0.817725098223775
"582",0.664724843290344,0.36272768555917,0.624631785433305,0.318724732855835,0.76992414003122,0.814516803011318,0.769599343633528,0.587003014146248,0.524536902429441,0.350053190435485,0.807947071364606,0.841255383573717,0.868131948324457,0.708706129568478,0.863606084096528
"584",0.739342479318206,0.736217901992533,0.310049243560566,0.0213698700134948,0.872572090954843,0.757494582192215,0.789138753570449,0.727214339570872,0.771037592280352,0.00538467615715443,0.873624363268136,0.920066091470333,0.796421560956836,0.763886280095223,0.918178241372714
"585",0.552818068739455,0.532627544972496,0.391519282894623,0.367525504225866,0.63346110605255,0.564067320663999,0.765713121201256,0.529204605206663,0.80515667727295,0.387226985814488,0.620687329608862,0.862741236829959,0.803430454612743,0.798971415153881,0.86242271825484
"839",0.451812396433798,0.36830701360551,0.793882486789252,0.00970645229631584,0.517345537656365,0.735742210128617,0.550098845502906,0.367232622124802,0.579230958057228,-0.0107083381109343,0.790360106542183,0.723587698655618,0.868915128723594,0.607467820684826,0.870839664174355
"845",0.680890884254099,0.769534402738659,0.869790467649905,0.105373992046457,0.827917199380079,0.853947117467734,0.748310487084877,0.793167184657495,0.826607482390364,0.137159975062009,0.849126121485627,0.886639836584144,0.910468515734135,0.85292654465117,0.907448887624578
"854",0.610933041042142,0.154080544426537,0.174510568757202,0.128602155187696,0.599221813764698,0.60092622632799,0.72270834306847,0.178633120722614,0.502177630805746,0.128602802254395,0.58906369094931,0.768455643004396,0.71281615678681,0.499166799545578,0.760073179485584
"All",0.536566469067781,0.369303881959856,0.486171453261173,0.349786383194126,0.763339487085082,0.685906482986349,0.738024056209078,0.591066015667604,0.5746400522566,0.370668523872759,0.766165691100111,0.887910191665748,0.842054674274998,0.743063648801093,0.891600896946648
