"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width*height","fresh_weight~width*D_div_W","fresh_weight~width*thickness","fresh_weight~height*D_div_W","fresh_weight~height*thickness","fresh_weight~D_div_W*thickness","fresh_weight~width*height*D_div_W","fresh_weight~width*height*thickness","fresh_weight~width*D_div_W*thickness","fresh_weight~height*D_div_W*thickness","fresh_weight~width*height*D_div_W*thickness"
"242",0.755509141894615,0.483991650949553,0.643932053533415,0.427423528978889,0.935107521343056,0.899267195012016,0.873664510006508,0.944163565165727,0.743264692610118,0.593965179748117,0.970790710181074,0.978268925920614,0.977558485992895,0.972026966905931,0.986657841155669
"246",0.527926892608611,0.332010244576144,0.623260488007114,0.0328898189195469,0.754142198468813,0.787259133118756,0.605236557708865,0.69329540048117,0.390176230565817,0.0465956026630361,0.80339571931937,0.872027448145615,0.884520354054199,0.775066108450801,0.905954669722548
"319",0.490420066322535,0.260761967012654,-0.00145348044338034,0.0470332156307552,0.58136463992397,0.587759404112503,0.56265590092716,0.362452332901641,0.469501819017699,0.1162095739709,0.721670613350417,0.826982793294045,0.76004025391581,0.668519113634586,0.87673196457786
"325",0.642021861794827,0.468901570975703,0.771186867212893,0.171497140820057,0.809156656915086,0.844222683231174,0.759986413441571,0.740455925429332,0.50828801838339,0.248259479506534,0.836057063354257,0.869461691815008,0.913127988321376,0.763716701106916,0.906815813646484
"326",0.68920170742216,0.690457566576373,0.863379813061951,0.214371791333118,0.837368494254643,0.878499119025666,0.758866466747199,0.760547506768945,0.809119504732199,0.270028893929333,0.872076201316012,0.9162229688783,0.954216875418583,0.822435815735036,0.954955061511204
"390",0.630357990209107,0.554642632518181,0.651120537023586,0.417363075347559,0.751829304723641,0.730546963719555,0.83144860082492,0.683171253467385,0.71830640682704,0.388228538179553,0.725671391017141,0.923696116791502,0.925333118295159,0.845090513175131,0.922721766589462
"572",0.508067775263829,0.560647247644571,0.70095094298674,0.0865997552944129,0.597821889280519,0.716423712960719,0.626865851669655,0.607879925674187,0.685151666189062,0.0411189477557967,0.711898479312342,0.756206540721395,0.876791596667856,0.721276756593744,0.917625285797154
"580",0.444327177993492,0.233579174709958,0.138969503384855,0.141134979526959,0.571549180174321,0.474111895952915,0.577279563505275,0.287717898488802,0.510164335617019,0.356713427265744,0.502675147250906,0.830957653812319,0.671839678615271,0.757851564157404,0.882961332260649
"582",0.664724843290344,0.36272768555917,0.624631785433305,0.318724732855835,0.762484113296002,0.812639014877151,0.767717938314752,0.574229212542014,0.531223770700375,0.326908947695478,0.851160878130369,0.82203651133845,0.883322534378088,0.680891200054004,0.923229143014916
"584",0.739342479318206,0.736217901992533,0.310049243560566,0.0213698700134948,0.877816065947827,0.824183128850279,0.782045483262961,0.718631357660666,0.763219396289169,-0.0301114244726501,0.874377405688465,0.94732894810762,0.883675960313716,0.863702027688854,0.984041442312689
"585",0.552818068739455,0.532627544972496,0.391519282894623,0.367525504225866,0.622467768520873,0.740799995262503,0.768740599632808,0.515327052880098,0.799098728513504,0.392140578659111,0.729942093519858,0.855180601465591,0.859739457850346,0.859991567583932,0.879809289084091
"839",0.451812396433798,0.36830701360551,0.793882486789252,0.00970645229631584,0.508074057919306,0.790778790223685,0.603663004586196,0.368065124206517,0.607329934576014,-0.0224445971565785,0.839068261376637,0.83003221800094,0.930802136693285,0.641526381884397,0.920459700470427
"845",0.680890884254099,0.769534402738659,0.869790467649905,0.105373992046457,0.841483716770375,0.888216257720935,0.76113040334581,0.795117720499239,0.830289399665751,0.138488431083088,0.890585762417079,0.903808149468542,0.930253968214792,0.86127615203985,0.937040562730662
"854",0.610933041042142,0.154080544426537,0.174510568757202,0.128602155187696,0.653536579311294,0.595548156851514,0.743984955916938,0.302987908957547,0.485762078224141,0.136911290072959,0.654614467757274,0.793781848469162,0.800661839122851,0.79538973413978,0.859954304901467
"All",0.536566469067781,0.369303881959856,0.486171453261173,0.349786383194126,0.776290386692805,0.715458813591308,0.753351596359233,0.604128744456004,0.574197268184102,0.370522308827452,0.789217009722906,0.928960176703343,0.870425464685082,0.775096134146062,0.937524984728438
