"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width*height","fresh_weight~width*D_div_W","fresh_weight~width*thickness","fresh_weight~height*D_div_W","fresh_weight~height*thickness","fresh_weight~D_div_W*thickness","fresh_weight~width*height*D_div_W","fresh_weight~width*height*thickness","fresh_weight~width*D_div_W*thickness","fresh_weight~height*D_div_W*thickness","fresh_weight~width*height*D_div_W*thickness"
"242",0.718900974214326,0.459030405600448,0.61179963306417,0.0836508990985992,0.907289639182019,0.894714319501457,0.740298883459743,0.91169943635653,0.538809287656467,0.243133002356257,0.9594610845786,0.958524449601156,0.943564616914891,0.942011552253459,0.97409343915832
"246",0.48883473195002,0.198707942267728,0.528247501183919,0.0486782873106639,0.717363662837451,0.736860158308903,0.600180105192982,0.63504732579289,0.367222548014682,0.127906301033008,0.79548151129215,0.830923569293152,0.866459764758947,0.753748956736561,0.878494314652241
"319",0.402282318650985,0.515229363142802,0.639297439935099,0.156026990092056,0.764284980414878,0.766338561120719,0.47336245369727,0.735153736301581,0.574519169971249,0.0933690947711052,0.74048319149747,0.81679612573188,0.859921055164696,0.771305192652634,0.869735680709286
"325",0.618468633830789,0.36060182713358,0.742859545892055,0.178842464598791,0.785807289954447,0.821895459794958,0.756143211015238,0.692894091747728,0.424313400055954,0.268702988109155,0.808570038111395,0.843556339783669,0.896075618258857,0.767196299641668,0.91318197430295
"326",0.724436254462962,0.710919775425203,0.865762503148531,0.253835356927496,0.841997622697581,0.877448129476172,0.775638468945187,0.757874309330895,0.81289586799518,0.300964950682462,0.870138347079039,0.914934049265411,0.957483385725418,0.81953498791381,0.954022384431736
"390",0.451821034545709,0.340843128935138,0.583965533043617,0.367397281435392,0.58448660360661,0.58783469913844,0.77429526770494,0.536028621702644,0.597496070188834,0.34230812086608,0.539972629084413,0.883436021809816,0.888761786150638,0.804100101499248,0.858925022686602
"572",0.45349683634256,0.496278670922357,0.660974303697374,0.146440358812969,0.545631216216827,0.675259143214614,0.572857360988528,0.59196339633092,0.640338477906631,0.16777907634964,0.67054522971511,0.721219909910807,0.867219722482075,0.691207494066394,0.899215632464271
"580",0.32706994338082,0.138678181415118,0.0128522599111018,0.271366269489151,0.442989044230525,0.323411471554886,0.567752686175122,0.326152011395491,0.488050678170592,0.37218438276049,0.344550812452423,0.793664243313143,0.731208094059982,0.718766820536493,0.852680844990171
"582",0.590790242494458,0.208887351717804,0.554153557388535,0.266552240685655,0.695383869855935,0.803846932035879,0.703943108731937,0.4753950012995,0.39787373392903,0.365772621995513,0.807398473048263,0.769540044342221,0.860195375604946,0.586811140771004,0.899344352902441
"584",0.644358045156229,0.772049511231568,0.889676453808374,0.0349197949295456,0.849892097365236,0.900834649527782,0.706455562984613,0.79931638066792,0.814182499745042,0.0114217966079113,0.91442116042887,0.925825852365574,0.963222319182112,0.922152433799743,0.980807860033039
"585",0.499101937502069,0.482839162228096,0.699084095203299,0.639251471945589,0.611563479374335,0.750681682892596,0.771871766813764,0.487225459472542,0.805321239181082,0.613963527582577,0.747434360536918,0.834431018619703,0.884752072111334,0.847319470961615,0.888825269800871
"839",0.504474772794084,0.114736365809365,0.701572191042026,0.184834689613383,0.536756598263909,0.764296101879664,0.665632628678698,0.153405672530155,0.417683615095261,0.117318559129261,0.735848162037931,0.824770991833412,0.903398757966377,0.559279753046205,0.882086370371968
"845",0.681122309725136,0.799268558422383,0.884356453599808,0.132615254941818,0.864395498599753,0.899804889995002,0.777307774386231,0.819007808875919,0.834908650471749,0.137063384219814,0.901514996234004,0.903479318593262,0.929871772393177,0.85947415698447,0.936021781893613
"854",0.628376942311659,0.163717340298364,0.413509896447355,0.132506336132097,0.655285297650699,0.611895808869145,0.770256917999033,0.379538980913984,0.497162323497529,0.18666953514296,0.676222931201742,0.791609086499372,0.841553685324071,0.795993991634096,0.881957503111052
"All",0.543969942928872,0.374673047508856,0.6505728362005,0.37736661605904,0.801626271656866,0.810306422108557,0.767526261042881,0.711384630892652,0.586367108586988,0.400366614314239,0.826384589422474,0.942699188259315,0.942402377288673,0.862288641844218,0.954313945722283
