"accession","fresh_weight~Area","fresh_weight~Theo_Area","fresh_weight~Area+thickness","fresh_weight~Theo_Area+thickness","fresh_weight~Theo_Area+thickness+Pade_Derived_Diam"
"242",0.876963371149653,0.8724630494276,0.949807136742262,0.95318619188026,0.959951726933075
"246",0.829273004011378,0.750893433348287,0.916665223733609,0.845441702704092,0.84095371222459
"319",0.58684735250925,0.560161633250022,0.699959041297333,0.622911333907523,0.663506814612326
"325",0.889401141852539,0.82079069451651,0.933587594296407,0.880345091539174,0.879091155865462
"326",0.880035906625077,0.847376726382944,0.909052262665871,0.875863002104926,0.875770501269952
"390",0.615095093692507,0.761303671464892,0.779055398256677,0.911017120697703,0.910797668617523
"572",0.680730574593192,0.623702863515242,0.867273069659856,0.767736327286533,0.759727559783348
"580",0.669664193865507,0.5799119056578,0.873271550482504,0.834091133829507,0.833600255045548
"582",0.762485457115254,0.772995732483795,0.864521770557506,0.845272025280352,0.845295390932723
"584",0.940759857677462,0.885783332054579,0.970481813643671,0.940624973194888,0.939123623802746
"585",0.576329744168601,0.647218506353339,0.709891053850156,0.866393575003411,0.86378715304753
"839",0.748892002517239,0.512566154804598,0.837119072464762,0.6942455360592,0.717120847484184
"845",0.890520138091669,0.846212747145673,0.96426942511936,0.902029834626994,0.898539935579307
"854",0.110270705886064,0.441973225138002,0.38713421385427,0.732199757442209,0.733085265374554
"All",0.818849700389712,0.776979280655048,0.913859312951538,0.907479925497858,0.907893896671258
