"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width+height","fresh_weight~width+D_div_W","fresh_weight~width+thickness","fresh_weight~height+D_div_W","fresh_weight~height+thickness","fresh_weight~D_div_W+thickness","fresh_weight~width+height+D_div_W","fresh_weight~width+height+thickness","fresh_weight~width+D_div_W+thickness","fresh_weight~height+D_div_W+thickness","fresh_weight~width+height+D_div_W+thickness"
"242",0.718900974214326,0.459030405600448,0.61179963306417,0.0836508990985992,0.883931217114022,0.897033675006172,0.750606734629402,0.832002684944701,0.533375043669152,0.200398084893888,0.893437504940541,0.923440205242187,0.921857566043047,0.890371074104115,0.924257057212883
"246",0.48883473195002,0.198707942267728,0.528247501183919,0.0486782873106639,0.650411793115259,0.687373978134406,0.550324865861234,0.571970494855679,0.316196807090729,0.0911472336560097,0.679602481563624,0.772090640356696,0.780252785179638,0.725234350872841,0.773057531492211
"319",0.402282318650985,0.515229363142802,0.639297439935099,0.156026990092056,0.767119640239716,0.725449988978792,0.49208395873523,0.726333358601552,0.588682313514397,0.126832146808436,0.757823138651016,0.815605942108701,0.790860435049756,0.768748298706312,0.810085500748271
"325",0.618468633830789,0.36060182713358,0.742859545892055,0.178842464598791,0.784663500487997,0.817224922915703,0.758779629757317,0.699510253317093,0.420160163419883,0.282629552982647,0.810401336726013,0.858279315472513,0.901173096448378,0.759235540828761,0.90496424383594
"326",0.724436254462962,0.710919775425203,0.865762503148531,0.253835356927496,0.836632312454166,0.878432444471654,0.774928858536194,0.750808175492242,0.815988698394067,0.294992018981138,0.874709260442657,0.895567383620143,0.95301808498744,0.826383307120949,0.955101086737709
"390",0.451821034545709,0.340843128935138,0.583965533043617,0.367397281435392,0.592008960671681,0.582038091063137,0.765120294387537,0.553552694772536,0.612033728601104,0.367312076979027,0.576454910556986,0.860039748292749,0.862543316765976,0.813544259254038,0.859062906942756
"572",0.45349683634256,0.496278670922357,0.660974303697374,0.146440358812969,0.561594922587416,0.674300664377095,0.588677454883565,0.481160994861064,0.653404129569174,0.169788342394738,0.675121723700242,0.713319017620425,0.838109059986858,0.641144186117325,0.846805107667153
"580",0.32706994338082,0.138678181415118,0.0128522599111018,0.271366269489151,0.454536293250173,0.336489641238898,0.574456084225711,0.34068899228547,0.503398680627095,0.297293408109165,0.435671359045428,0.788103104076819,0.603819598852982,0.709613504384908,0.78666164348735
"582",0.590790242494458,0.208887351717804,0.554153557388535,0.266552240685655,0.70616716360462,0.802550319827275,0.712652081923876,0.491953540747924,0.40120491679515,0.357202098134212,0.79604479646873,0.799457321908661,0.867329602992307,0.636470428576008,0.862418980647792
"584",0.644358045156229,0.772049511231568,0.889676453808374,0.0349197949295456,0.852581966589651,0.889538668726641,0.716351763646224,0.805386405876779,0.820937718844767,0.0474724468361469,0.885674195200106,0.91691152209408,0.944312435137008,0.869629315740583,0.94209265182679
"585",0.499101937502069,0.482839162228096,0.699084095203299,0.639251471945589,0.626056123537214,0.740723738663218,0.780068994066822,0.493447550747218,0.799980305869872,0.624829452817546,0.739190050656577,0.847197102512073,0.867263905868103,0.814034975495966,0.861920568866713
"839",0.504474772794084,0.114736365809365,0.701572191042026,0.184834689613383,0.54314668813718,0.702944445180804,0.650884465094297,0.188519753440797,0.428208097661923,0.153928945270487,0.736186865060513,0.772438741880069,0.886542791775459,0.519976444506177,0.885149440363903
"845",0.681122309725136,0.799268558422383,0.884356453599808,0.132615254941818,0.844677484270781,0.865534483549133,0.765466040894846,0.817293915117611,0.827089809205835,0.147740425155541,0.860576658296111,0.886153285211983,0.911163950949565,0.852113133721201,0.9085100657871
"854",0.628376942311659,0.163717340298364,0.413509896447355,0.132506336132097,0.615554928199427,0.623046933985509,0.751423583741773,0.401361322855105,0.514656795849583,0.134310803249712,0.652104341169594,0.773423660056742,0.81010079860985,0.629175473471198,0.810115446268304
"All",0.543969942928872,0.374673047508856,0.6505728362005,0.37736661605904,0.788636082057175,0.74134002264863,0.753977428287106,0.70398892004658,0.587354905994208,0.400453731698249,0.788827775862047,0.907825133787939,0.893335444945198,0.822559350589717,0.911864753526467
