"accession","L*W*T","L*W*T*D","Full Ellip.","Reis L*W*T"
"242",0.958524449601156,0.979808865598887,0.95565326313237,0.91
"246",0.830923569293152,0.906292270290039,0.823302566424915,0.91
"319",0.81679612573188,0.875141820417105,0.796174513435147,0.91
"325",0.843556339783669,0.891247733950808,0.838654113673882,0.91
"326",0.914934049265411,0.953933812438583,0.91407205725559,0.91
"390",0.883436021809816,0.868546697436065,0.877940212337501,0.91
"572",0.721219909910807,0.891074714893022,0.716372702317726,0.91
"580",0.793664243313143,0.821741453062561,0.807563924101342,0.91
"582",0.769540044342221,0.881471296384396,0.796629872677707,0.91
"584",0.925825852365574,0.981808285360626,0.934468867695556,0.91
"585",0.834431018619703,0.881647564016269,0.834055142824185,0.91
"839",0.824770991833412,0.869617978469695,0.834364765810422,0.91
"845",0.903479318593262,0.952409415134775,0.909154089342399,0.91
"854",0.791609086499372,0.900626767283875,0.823143095999535,0.91
"All",0.942699188259315,0.956523901340764,0.942760434051144,0.91
